2023-08-13 12:31:37.417429 - Starting learning loop ...
==================================================================
2023-08-13 12:31:37.417429 - Using Framebuffer of: 1 frames	 and 	ReplayBufferSize: 100000
2023-08-13 12:59:53.486224 - Epoc #	790	 23.67246985435486
2023-08-13 13:00:15.182378 - Epoc #	800	 21.69615411758423
2023-08-13 13:00:36.828602 - Epoc #	810	 21.64622402191162
2023-08-13 13:00:57.963769 - Epoc #	820	 21.135166883468628
2023-08-13 13:01:18.860485 - Epoc #	830	 20.896716117858887
2023-08-13 13:01:40.026196 - Epoc #	840	 21.165710926055908
2023-08-13 13:02:00.453598 - Epoc #	850	 20.427402019500732
2023-08-13 13:02:21.006954 - Epoc #	860	 20.553355932235718
2023-08-13 13:02:42.477679 - Epoc #	870	 21.470725059509277
2023-08-13 13:03:03.769439 - Epoc #	880	 21.291759967803955
2023-08-13 13:03:26.054732 - Epoc #	890	 22.285293102264404
2023-08-13 13:03:46.846957 - Epoc #	900	 20.792224884033203
2023-08-13 13:04:08.454529 - Epoc #	910	 21.607572078704834
2023-08-13 13:04:29.999289 - Epoc #	920	 21.54475998878479
2023-08-13 13:04:50.545442 - Epoc #	930	 20.54615306854248
2023-08-13 13:05:11.514240 - Epoc #	940	 20.9687979221344
2023-08-13 13:05:33.609706 - Epoc #	950	 22.095465898513794
2023-08-13 13:05:55.761729 - Epoc #	960	 22.15202307701111
2023-08-13 13:06:16.342665 - Epoc #	970	 20.580935955047607
2023-08-13 13:06:37.435675 - Epoc #	980	 21.09300994873047
2023-08-13 13:06:58.450285 - Epoc #	990	 21.014610052108765
2023-08-13 13:07:19.599145 - Epoc #	1000	 21.148859977722168
2023-08-13 13:07:40.348150 - Epoc #	1010	 20.74900507926941
2023-08-13 13:08:01.876517 - Epoc #	1020	 21.528367042541504
2023-08-13 13:08:24.033282 - Epoc #	1030	 22.15676498413086
2023-08-13 13:08:44.836226 - Epoc #	1040	 20.80294394493103
2023-08-13 13:09:05.677735 - Epoc #	1050	 20.841509103775024
2023-08-13 13:09:28.116075 - Epoc #	1060	 22.438339948654175
2023-08-13 13:09:48.543080 - Epoc #	1070	 20.42700505256653
2023-08-13 13:10:09.316710 - Epoc #	1080	 20.773629903793335
2023-08-13 13:10:31.610263 - Epoc #	1090	 22.293553113937378
2023-08-13 13:10:55.080816 - Epoc #	1100	 23.470552921295166
2023-08-13 13:11:15.741875 - Epoc #	1110	 20.66105890274048
2023-08-13 13:11:37.248833 - Epoc #	1120	 21.5069580078125
2023-08-13 13:11:58.036924 - Epoc #	1130	 20.78809094429016
2023-08-13 13:12:20.298092 - Epoc #	1140	 22.261168003082275
2023-08-13 13:12:42.952704 - Epoc #	1150	 22.654612064361572
2023-08-13 13:13:03.978939 - Epoc #	1160	 21.026235103607178
2023-08-13 13:13:25.402761 - Epoc #	1170	 21.423821926116943
2023-08-13 13:13:46.877091 - Epoc #	1180	 21.474329948425293
2023-08-13 13:14:08.890479 - Epoc #	1190	 22.01338815689087
2023-08-13 13:14:29.009755 - Epoc #	1200	 20.11927580833435
