2023-07-18 19:45:40.972667 - Starting learning loop ...
==================================================================
2023-07-18 19:45:40.973667 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-18 20:05:15.159991 - Epoc #	860	 14.668394088745117
2023-07-18 20:05:33.132259 - Epoc #	870	 17.972267866134644
2023-07-18 20:05:53.562414 - Epoc #	880	 20.430155038833618
2023-07-18 20:06:10.211427 - Epoc #	890	 16.64901304244995
2023-07-18 20:06:29.973400 - Epoc #	900	 19.7619731426239
2023-07-18 20:06:42.614495 - Epoc #	910	 12.64109492301941
2023-07-18 20:06:58.366173 - Epoc #	920	 15.751677989959717
2023-07-18 20:07:10.836450 - Epoc #	930	 12.470277070999146
2023-07-18 20:07:23.918610 - Epoc #	940	 13.082159996032715
2023-07-18 20:07:41.286579 - Epoc #	950	 17.367968797683716
2023-07-18 20:07:55.342585 - Epoc #	960	 14.05600619316101
2023-07-18 20:08:09.745149 - Epoc #	970	 14.40256381034851
2023-07-18 20:08:24.647762 - Epoc #	980	 14.902613162994385
2023-07-18 20:08:35.810155 - Epoc #	990	 11.162392854690552
2023-07-18 20:08:48.311317 - Epoc #	1000	 12.501162052154541
2023-07-18 20:09:01.613714 - Epoc #	1010	 13.302397012710571
2023-07-18 20:09:13.431400 - Epoc #	1020	 11.817686080932617
2023-07-18 20:09:28.580039 - Epoc #	1030	 15.14863896369934
2023-07-18 20:09:46.399907 - Epoc #	1040	 17.819868087768555
2023-07-18 20:09:58.497358 - Epoc #	1050	 12.097450971603394
2023-07-18 20:10:09.466581 - Epoc #	1060	 10.969223022460938
2023-07-18 20:10:25.290009 - Epoc #	1070	 15.82342791557312
2023-07-18 20:10:41.280225 - Epoc #	1080	 15.99021601676941
2023-07-18 20:10:57.056031 - Epoc #	1090	 15.775805950164795
2023-07-18 20:11:13.063599 - Epoc #	1100	 16.00756812095642
2023-07-18 20:11:29.783518 - Epoc #	1110	 16.719918966293335
2023-07-18 20:11:40.627884 - Epoc #	1120	 10.84436583518982
2023-07-18 20:11:58.108100 - Epoc #	1130	 17.480216026306152
2023-07-18 20:12:15.826147 - Epoc #	1140	 17.71804714202881
2023-07-18 20:12:30.718245 - Epoc #	1150	 14.89209794998169
2023-07-18 20:12:43.078759 - Epoc #	1160	 12.360513925552368
2023-07-18 20:12:59.035619 - Epoc #	1170	 15.956860065460205
2023-07-18 20:13:12.496843 - Epoc #	1180	 13.46122407913208
2023-07-18 20:13:32.542266 - Epoc #	1190	 20.045422792434692
2023-07-18 20:13:47.166399 - Epoc #	1200	 14.624133110046387
2023-07-18 20:14:00.390760 - Epoc #	1210	 13.224360942840576
2023-07-18 20:14:14.339414 - Epoc #	1220	 13.948653936386108
2023-07-18 20:14:32.697010 - Epoc #	1230	 18.357596158981323
2023-07-18 20:14:46.926517 - Epoc #	1240	 14.229506969451904
2023-07-18 20:15:05.514611 - Epoc #	1250	 18.588093996047974
2023-07-18 20:15:21.380309 - Epoc #	1260	 15.865698099136353
2023-07-18 20:15:34.352131 - Epoc #	1270	 12.971821784973145
2023-07-18 20:15:49.519623 - Epoc #	1280	 15.167492151260376
2023-07-18 20:16:08.108012 - Epoc #	1290	 18.588388919830322
2023-07-18 20:16:19.508735 - Epoc #	1300	 11.400722980499268
2023-07-18 20:16:38.771668 - Epoc #	1310	 19.262933015823364
2023-07-18 20:16:54.443704 - Epoc #	1320	 15.672035932540894
2023-07-18 20:17:05.856473 - Epoc #	1330	 11.412769079208374
2023-07-18 20:17:23.227758 - Epoc #	1340	 17.37128496170044
2023-07-18 20:17:39.061038 - Epoc #	1350	 15.833280086517334
2023-07-18 20:17:41.070836 - Time between reward step: #	1920.0981690883636
2023-07-18 20:17:41.070836 - Average Score: 9.000 Elapsed time: 0:32:01.232087
2023-07-18 20:17:56.732030 - Epoc #	1360	 17.670991897583008
2023-07-18 20:18:10.654341 - Epoc #	1370	 13.922311067581177
2023-07-18 20:18:22.808140 - Epoc #	1380	 12.153799057006836
2023-07-18 20:18:33.686681 - Epoc #	1390	 10.878540992736816
2023-07-18 20:18:54.783001 - Epoc #	1400	 21.096319913864136
2023-07-18 20:19:12.905377 - Epoc #	1410	 18.122375965118408
2023-07-18 20:19:29.993929 - Epoc #	1420	 17.088551998138428
2023-07-18 20:19:47.659578 - Epoc #	1430	 17.66564917564392
2023-07-18 20:20:01.992264 - Epoc #	1440	 14.332685947418213
2023-07-18 20:20:20.868205 - Epoc #	1450	 18.875941038131714
2023-07-18 20:20:30.203854 - Epoc #	1460	 9.335649013519287
2023-07-18 20:20:47.624383 - Epoc #	1470	 17.420528888702393
2023-07-18 20:21:00.734565 - Epoc #	1480	 13.110182046890259
2023-07-18 20:21:18.146534 - Epoc #	1490	 17.41196894645691
2023-07-18 20:21:31.086955 - Epoc #	1500	 12.940421104431152
2023-07-18 20:21:51.786599 - Epoc #	1510	 20.699643850326538
2023-07-18 20:22:05.954726 - Epoc #	1520	 14.168127059936523
2023-07-18 20:22:20.260534 - Epoc #	1530	 14.305808067321777
2023-07-18 20:22:32.590319 - Epoc #	1540	 12.329784870147705
2023-07-18 20:22:47.180848 - Epoc #	1550	 14.590528964996338
2023-07-18 20:22:58.830249 - Epoc #	1560	 11.649401187896729
2023-07-18 20:23:14.051802 - Epoc #	1570	 15.221552848815918
2023-07-18 20:23:33.627263 - Epoc #	1580	 19.5754611492157
2023-07-18 20:23:48.091742 - Epoc #	1590	 14.464478969573975
2023-07-18 20:23:59.140558 - Epoc #	1600	 11.048815965652466
2023-07-18 20:24:12.362997 - Epoc #	1610	 13.222439050674438
2023-07-18 20:24:27.441068 - Epoc #	1620	 15.078070878982544
2023-07-18 20:24:39.358726 - Epoc #	1630	 11.91765809059143
2023-07-18 20:24:56.367622 - Epoc #	1640	 17.008895874023438
2023-07-18 20:25:09.142942 - Epoc #	1650	 12.775320053100586
2023-07-18 20:25:25.072730 - Epoc #	1660	 15.92978811264038
2023-07-18 20:25:41.515056 - Epoc #	1670	 16.442325830459595
2023-07-18 20:25:54.083230 - Epoc #	1680	 12.568174123764038
2023-07-18 20:26:10.047239 - Epoc #	1690	 15.964009046554565
2023-07-18 20:26:21.690887 - Epoc #	1700	 11.643647909164429
2023-07-18 20:26:39.753549 - Epoc #	1710	 18.06266212463379
2023-07-18 20:26:50.716389 - Epoc #	1720	 10.962839841842651
2023-07-18 20:27:05.048804 - Epoc #	1730	 14.332415103912354
2023-07-18 20:27:17.444681 - Epoc #	1740	 12.39587688446045
2023-07-18 20:27:30.314231 - Epoc #	1750	 12.869549989700317
2023-07-18 20:27:45.512818 - Epoc #	1760	 15.19858717918396
2023-07-18 20:27:59.188167 - Epoc #	1770	 13.675348997116089
2023-07-18 20:28:13.882105 - Epoc #	1780	 14.69393801689148
2023-07-18 20:28:27.994234 - Epoc #	1790	 14.112128973007202
2023-07-18 20:28:37.924715 - Epoc #	1800	 9.93048095703125
2023-07-18 20:28:54.607737 - Epoc #	1810	 16.683022022247314
2023-07-18 20:29:10.541604 - Epoc #	1820	 15.93386697769165
2023-07-18 20:29:28.923097 - Epoc #	1830	 18.381492853164673
2023-07-18 20:29:43.954615 - Epoc #	1840	 15.03151822090149
2023-07-18 20:29:55.751076 - Epoc #	1850	 11.7964608669281
2023-07-18 20:30:06.478960 - Epoc #	1860	 10.72788405418396
2023-07-18 20:30:27.532439 - Epoc #	1870	 21.053478956222534
2023-07-18 20:30:42.342229 - Epoc #	1880	 14.809789896011353
2023-07-18 20:31:00.970476 - Epoc #	1890	 18.628247022628784
2023-07-18 20:31:13.704432 - Epoc #	1900	 12.733956098556519
2023-07-18 20:31:29.408983 - Epoc #	1910	 15.704550981521606
2023-07-18 20:31:46.906451 - Epoc #	1920	 17.49746799468994
2023-07-18 20:31:59.848640 - Epoc #	1930	 12.94218897819519
2023-07-18 20:32:17.364852 - Epoc #	1940	 17.516211986541748
2023-07-18 20:32:33.523936 - Epoc #	1950	 16.15908408164978
2023-07-18 20:32:51.953729 - Epoc #	1960	 18.429792881011963
2023-07-18 20:33:09.216232 - Epoc #	1970	 17.262503147125244
2023-07-18 20:33:23.122523 - Epoc #	1980	 13.906291007995605
2023-07-18 20:33:34.893216 - Epoc #	1990	 11.770692825317383
2023-07-18 20:33:49.897863 - Epoc #	2000	 15.004647016525269
2023-07-18 20:34:10.537178 - Epoc #	2010	 20.639315128326416
2023-07-18 20:34:20.323877 - Epoc #	2020	 9.786699056625366
2023-07-18 20:34:34.498673 - Epoc #	2030	 14.174795866012573
2023-07-18 20:34:48.599589 - Epoc #	2040	 14.100916147232056
2023-07-18 20:35:00.769931 - Epoc #	2050	 12.170341968536377
2023-07-18 20:35:17.008748 - Epoc #	2060	 16.23881697654724
2023-07-18 20:35:28.874686 - Epoc #	2070	 11.865937948226929
2023-07-18 20:35:43.914821 - Epoc #	2080	 15.040134906768799
2023-07-18 20:36:00.352558 - Epoc #	2090	 16.437736988067627
2023-07-18 20:36:13.040293 - Epoc #	2100	 12.687735080718994
2023-07-18 20:36:26.981908 - Epoc #	2110	 13.941615104675293
2023-07-18 20:36:40.815517 - Epoc #	2120	 13.833608865737915
2023-07-18 20:36:57.779193 - Epoc #	2130	 16.96367597579956
2023-07-18 20:37:17.924158 - Epoc #	2140	 20.144965171813965
2023-07-18 20:37:29.324258 - Epoc #	2150	 11.400099992752075
2023-07-18 20:37:46.794578 - Epoc #	2160	 17.470319986343384
2023-07-18 20:38:02.786789 - Epoc #	2170	 15.992210865020752
2023-07-18 20:38:21.899669 - Epoc #	2180	 19.112879991531372
2023-07-18 20:38:38.597066 - Epoc #	2190	 16.697396993637085
2023-07-18 20:38:51.535864 - Epoc #	2200	 12.938798189163208
2023-07-18 20:39:07.035283 - Epoc #	2210	 15.49941897392273
2023-07-18 20:39:23.024749 - Epoc #	2220	 15.989465951919556
2023-07-18 20:39:37.164852 - Epoc #	2230	 14.140102863311768
2023-07-18 20:39:48.264782 - Epoc #	2240	 11.099930047988892
2023-07-18 20:40:04.994699 - Epoc #	2250	 16.72991704940796
2023-07-18 20:40:21.036311 - Epoc #	2260	 16.041611909866333
2023-07-18 20:40:38.021633 - Epoc #	2270	 16.98532199859619
2023-07-18 20:40:52.550843 - Epoc #	2280	 14.529210090637207
2023-07-18 20:41:03.634385 - Epoc #	2290	 11.083542108535767
2023-07-18 20:41:20.382764 - Epoc #	2300	 16.74837899208069
2023-07-18 20:41:36.751334 - Epoc #	2310	 16.36856985092163
2023-07-18 20:41:48.955861 - Epoc #	2320	 12.204527139663696
2023-07-18 20:41:59.347022 - Epoc #	2330	 10.39116096496582
2023-07-18 20:42:13.764733 - Epoc #	2340	 14.417711019515991
2023-07-18 20:42:29.390607 - Epoc #	2350	 15.625874042510986
2023-07-18 20:42:45.709242 - Epoc #	2360	 16.31863498687744
2023-07-18 20:42:56.387073 - Epoc #	2370	 10.677830934524536
2023-07-18 20:43:10.941330 - Epoc #	2380	 14.554256916046143
2023-07-18 20:43:25.970303 - Epoc #	2390	 15.02897310256958
2023-07-18 20:43:40.334614 - Epoc #	2400	 14.36431097984314
2023-07-18 20:43:54.741447 - Epoc #	2410	 14.406832933425903
2023-07-18 20:44:09.948614 - Epoc #	2420	 15.207166910171509
2023-07-18 20:44:23.396537 - Epoc #	2430	 13.447923183441162
2023-07-18 20:44:34.610565 - Epoc #	2440	 11.214027881622314
2023-07-18 20:44:45.834163 - Epoc #	2450	 11.223598003387451
2023-07-18 20:45:01.723092 - Epoc #	2460	 15.88892912864685
2023-07-18 20:45:15.519525 - Epoc #	2470	 13.796432971954346
2023-07-18 20:45:33.976889 - Epoc #	2480	 18.457363843917847
2023-07-18 20:45:47.862068 - Epoc #	2490	 13.885179042816162
2023-07-18 20:45:56.410152 - Epoc #	2500	 8.548084020614624
2023-07-18 20:46:14.226464 - Epoc #	2510	 17.816312074661255
2023-07-18 20:46:33.175812 - Epoc #	2520	 18.949347972869873
2023-07-18 20:46:53.615145 - Epoc #	2530	 20.439332962036133
2023-07-18 20:47:10.765895 - Epoc #	2540	 17.150749921798706
2023-07-18 20:47:25.749976 - Epoc #	2550	 14.984081029891968
2023-07-18 20:47:43.882092 - Epoc #	2560	 18.132116079330444
2023-07-18 20:48:04.211831 - Epoc #	2570	 20.329739093780518
2023-07-18 20:48:22.394739 - Epoc #	2580	 18.182907819747925
2023-07-18 20:48:34.840037 - Epoc #	2590	 12.445298194885254
2023-07-18 20:48:51.399174 - Epoc #	2600	 16.559136867523193
2023-07-18 20:49:04.766746 - Epoc #	2610	 13.36757206916809
2023-07-18 20:49:20.811495 - Epoc #	2620	 16.04474902153015
2023-07-18 20:49:41.971510 - Epoc #	2630	 21.160014867782593
2023-07-18 20:50:00.513922 - Epoc #	2640	 18.542412042617798
2023-07-18 20:50:17.955462 - Epoc #	2650	 17.441540002822876
2023-07-18 20:50:38.064066 - Epoc #	2660	 20.108603954315186
2023-07-18 20:50:52.910020 - Epoc #	2670	 14.845954179763794
2023-07-18 20:51:02.345870 - Epoc #	2680	 9.435849905014038
2023-07-18 20:51:18.347551 - Epoc #	2690	 16.001681089401245
2023-07-18 20:51:31.361504 - Epoc #	2700	 13.01395297050476
2023-07-18 20:51:45.545083 - Epoc #	2710	 14.183578968048096
2023-07-18 20:52:05.927462 - Epoc #	2720	 20.382379055023193
2023-07-18 20:52:17.354639 - Epoc #	2730	 11.42717695236206
2023-07-18 20:52:31.652033 - Epoc #	2740	 14.297394037246704
2023-07-18 20:52:43.682561 - Epoc #	2750	 12.030527830123901
2023-07-18 20:52:54.296805 - Time between reward step: #	4033.3241379261017
2023-07-18 20:52:54.296805 - Average Score: 10.000 Elapsed time: 1:07:14.458892
2023-07-18 20:52:59.845835 - Epoc #	2760	 16.16327404975891
2023-07-18 20:53:11.341544 - Epoc #	2770	 11.49570894241333
2023-07-18 20:53:23.747458 - Epoc #	2780	 12.405914068222046
2023-07-18 20:53:37.771796 - Time between reward step: #	4076.799129009247
2023-07-18 20:53:37.771796 - Average Score: 11.000 Elapsed time: 1:07:57.939020
2023-07-18 20:53:37.771796 - Epoc #	2790	 14.024338006973267
2023-07-18 20:53:48.164864 - Epoc #	2800	 10.393068075180054
2023-07-18 20:54:01.954596 - Epoc #	2810	 13.789731979370117
2023-07-18 20:54:17.585459 - Epoc #	2820	 15.630862951278687
2023-07-18 20:54:33.577275 - Epoc #	2830	 15.99181604385376
2023-07-18 20:54:47.072142 - Epoc #	2840	 13.494866847991943
2023-07-18 20:55:04.476742 - Epoc #	2850	 17.404600143432617
2023-07-18 20:55:15.433034 - Epoc #	2860	 10.956291913986206
2023-07-18 20:55:31.418482 - Epoc #	2870	 15.985448122024536
2023-07-18 20:55:48.347130 - Epoc #	2880	 16.928647994995117
2023-07-18 20:56:01.788924 - Epoc #	2890	 13.44179391860962
2023-07-18 20:56:17.530902 - Epoc #	2900	 15.74197793006897
2023-07-18 20:56:32.663298 - Epoc #	2910	 15.13239598274231
2023-07-18 20:56:45.417753 - Epoc #	2920	 12.754455089569092
2023-07-18 20:57:02.936268 - Epoc #	2930	 17.51851511001587
2023-07-18 20:57:19.873129 - Epoc #	2940	 16.93686079978943
2023-07-18 20:57:37.705347 - Epoc #	2950	 17.832218170166016
2023-07-18 20:57:52.268779 - Epoc #	2960	 14.563431978225708
2023-07-18 20:58:08.544492 - Epoc #	2970	 16.275712966918945
2023-07-18 20:58:25.672262 - Epoc #	2980	 17.127769947052002
2023-07-18 20:58:46.479398 - Epoc #	2990	 20.807136058807373
2023-07-18 20:59:02.705376 - Epoc #	3000	 16.225977897644043
2023-07-18 20:59:15.959847 - Epoc #	3010	 13.254471063613892
2023-07-18 20:59:34.658095 - Epoc #	3020	 18.6982479095459
2023-07-18 20:59:45.036387 - Epoc #	3030	 10.378292083740234
2023-07-18 20:59:59.912435 - Epoc #	3040	 14.87604808807373
2023-07-18 21:00:12.774895 - Epoc #	3050	 12.862459897994995
2023-07-18 21:00:27.054401 - Epoc #	3060	 14.279505968093872
2023-07-18 21:00:46.322226 - Epoc #	3070	 19.26782512664795
2023-07-18 21:00:59.674355 - Epoc #	3080	 13.352128982543945
2023-07-18 21:01:16.215690 - Epoc #	3090	 16.541334867477417
2023-07-18 21:01:33.868227 - Epoc #	3100	 17.65253710746765
2023-07-18 21:01:47.109073 - Epoc #	3110	 13.240845918655396
2023-07-18 21:01:59.893494 - Epoc #	3120	 12.78442096710205
2023-07-18 21:02:17.739450 - Epoc #	3130	 17.845956087112427
2023-07-18 21:02:32.014463 - Epoc #	3140	 14.275012969970703
2023-07-18 21:02:48.243157 - Epoc #	3150	 16.228693962097168
2023-07-18 21:03:03.508149 - Epoc #	3160	 15.264991998672485
2023-07-18 21:03:18.815807 - Epoc #	3170	 15.307658195495605
2023-07-18 21:03:37.215337 - Epoc #	3180	 18.399529933929443
2023-07-18 21:03:50.933210 - Epoc #	3190	 13.717872858047485
2023-07-18 21:04:06.013925 - Epoc #	3200	 15.08071517944336
2023-07-18 21:04:22.758872 - Epoc #	3210	 16.74494695663452
2023-07-18 21:04:39.140339 - Epoc #	3220	 16.38146686553955
2023-07-18 21:04:51.284346 - Epoc #	3230	 12.144007205963135
2023-07-18 21:05:08.720344 - Epoc #	3240	 17.43599796295166
2023-07-18 21:05:21.079276 - Epoc #	3250	 12.35893201828003
2023-07-18 21:05:37.746022 - Epoc #	3260	 16.666745901107788
2023-07-18 21:05:51.255930 - Epoc #	3270	 13.509907960891724
2023-07-18 21:06:07.925783 - Epoc #	3280	 16.66985297203064
2023-07-18 21:06:23.353618 - Epoc #	3290	 15.42783498764038
2023-07-18 21:06:46.238301 - Epoc #	3300	 22.88468313217163
2023-07-18 21:07:02.578415 - Epoc #	3310	 16.340113878250122
2023-07-18 21:07:17.912838 - Epoc #	3320	 15.334423065185547
2023-07-18 21:07:31.489385 - Epoc #	3330	 13.576546907424927
2023-07-18 21:07:47.403235 - Epoc #	3340	 15.91385006904602
2023-07-18 21:08:06.056502 - Epoc #	3350	 18.65326714515686
2023-07-18 21:08:21.025964 - Epoc #	3360	 14.969461917877197
2023-07-18 21:08:38.997512 - Epoc #	3370	 17.971548080444336
2023-07-18 21:08:54.941391 - Epoc #	3380	 15.943878889083862
2023-07-18 21:09:15.018562 - Epoc #	3390	 20.077171087265015
2023-07-18 21:09:28.508199 - Epoc #	3400	 13.489636898040771
2023-07-18 21:09:43.834521 - Epoc #	3410	 15.326322078704834
2023-07-18 21:09:55.881495 - Epoc #	3420	 12.046973943710327
2023-07-18 21:10:08.868281 - Epoc #	3430	 12.986785888671875
2023-07-18 21:10:24.368717 - Epoc #	3440	 15.500436067581177
2023-07-18 21:10:44.065387 - Epoc #	3450	 19.696670055389404
2023-07-18 21:11:04.096938 - Epoc #	3460	 20.031550884246826
2023-07-18 21:11:27.863252 - Epoc #	3470	 23.766314029693604
2023-07-18 21:11:46.220751 - Epoc #	3480	 18.35749912261963
2023-07-18 21:12:00.698926 - Epoc #	3490	 14.478174924850464
2023-07-18 21:12:15.844434 - Epoc #	3500	 15.145508050918579
2023-07-18 21:12:27.704934 - Epoc #	3510	 11.860499858856201
2023-07-18 21:12:39.207645 - Epoc #	3520	 11.502711057662964
2023-07-18 21:12:52.525386 - Epoc #	3530	 13.31774115562439
2023-07-18 21:13:08.569555 - Epoc #	3540	 16.044168949127197
2023-07-18 21:13:22.848492 - Epoc #	3550	 14.278936862945557
2023-07-18 21:13:36.288853 - Epoc #	3560	 13.440361022949219
2023-07-18 21:13:57.753192 - Epoc #	3570	 21.464339017868042
2023-07-18 21:14:14.549628 - Epoc #	3580	 16.796436071395874
2023-07-18 21:14:29.345541 - Epoc #	3590	 14.795912981033325
2023-07-18 21:14:45.606676 - Epoc #	3600	 16.26113510131836
2023-07-18 21:15:02.294115 - Epoc #	3610	 16.68743896484375
2023-07-18 21:15:19.291706 - Epoc #	3620	 16.997591018676758
2023-07-18 21:15:38.338275 - Epoc #	3630	 19.046568870544434
2023-07-18 21:15:51.404528 - Epoc #	3640	 13.066252946853638
2023-07-18 21:16:11.032048 - Epoc #	3650	 19.627520084381104
2023-07-18 21:16:27.274813 - Epoc #	3660	 16.242764949798584
2023-07-18 21:16:42.498651 - Epoc #	3670	 15.223838090896606
2023-07-18 21:16:58.109731 - Epoc #	3680	 15.611079931259155
2023-07-18 21:17:14.112393 - Epoc #	3690	 16.00266194343567
2023-07-18 21:17:35.084823 - Epoc #	3700	 20.972429990768433
2023-07-18 21:17:50.792804 - Epoc #	3710	 15.70798110961914
2023-07-18 21:18:05.413347 - Epoc #	3720	 14.620543003082275
2023-07-18 21:18:24.845863 - Epoc #	3730	 19.43251609802246
2023-07-18 21:18:44.158441 - Epoc #	3740	 19.312577962875366
2023-07-18 21:19:01.942897 - Epoc #	3750	 17.78445601463318
2023-07-18 21:19:23.623109 - Epoc #	3760	 21.680212020874023
2023-07-18 21:19:33.999157 - Epoc #	3770	 10.376047849655151
2023-07-18 21:19:48.303991 - Epoc #	3780	 14.304834127426147
2023-07-18 21:20:09.672306 - Epoc #	3790	 21.36831498146057
2023-07-18 21:20:23.700376 - Time between reward step: #	5682.727709054947
2023-07-18 21:20:23.700376 - Average Score: 12.000 Elapsed time: 1:34:43.866021
2023-07-18 21:20:23.700376 - Epoc #	3800	 14.028069972991943
2023-07-18 21:20:29.995275 - Time between reward step: #	5689.022608041763
2023-07-18 21:20:29.995275 - Average Score: 13.000 Elapsed time: 1:34:50.162552
