Wall time,Step,Value
1689877377.3271213,18,7.0
1689877397.1625059,42,9.0
1689877400.1594913,45,29.0
1689877409.2922652,56,8.0
1689877422.071954,71,5.0
1689877424.2620077,74,0.0
1689877438.8647387,94,3.0
1689877481.4422944,155,6.0
1689877483.9672437,158,1.0
1689877489.8522015,167,15.0
1689877532.0821965,229,10.0
1689877534.272293,234,8.0
1689877547.8571184,255,10.0
1689877551.4721413,260,7.0
1689877556.317203,267,7.0
1689877559.9391456,273,12.0
1689877586.6121106,308,0.0
1689877587.3421998,310,1.0
1689877594.1320488,318,6.0
1689877614.1421459,347,18.0
1689877628.9323378,367,2.0
1689877663.8421416,421,14.0
1689877664.7872036,422,9.0
1689877677.5123765,442,11.0
1689877692.502478,460,2.0
1689877703.9621575,474,14.0
1689877752.3446217,536,11.0
1689877773.0821562,563,10.0
1689877786.7620678,579,8.0
1689877790.4323392,586,7.0
1689877791.0023718,587,5.0
1689877812.2021058,620,7.0
1689877819.0624886,634,6.0
1689877824.6276512,642,7.0
1689877827.5023005,647,2.0
1689877829.1474578,649,17.0
1689877838.813447,661,8.0
1689877846.6463675,671,5.0
1689877880.4721754,714,11.0
1689877886.3023353,722,7.0
1689877892.2822192,730,8.0
1689877912.2638633,756,6.0
1689877918.7925642,765,4.0
1689877921.3625457,769,2.0
1689877923.0939121,771,2.0
1689877931.8122573,785,2.0
1689877933.3622642,787,13.0
1689877940.6224914,794,13.0
1689877948.3124228,802,4.0
1689877952.7713,808,5.0
1689877972.277706,836,1.0
1689878028.4890378,909,0.0
1689878052.2385397,942,7.0
1689878054.9598668,945,6.0
1689878070.6328971,962,14.0
1689878077.2827096,971,6.0
1689878078.251352,972,9.0
1689878083.1402006,978,8.0
1689878083.4527113,979,0.0
1689878086.1537082,984,10.0
1689878096.794614,1002,1.0
1689878098.279056,1005,4.0
1689878104.8300533,1014,18.0
1689878141.3788211,1063,6.0
1689878143.550064,1066,10.0
1689878148.861488,1072,0.0
1689878154.1335945,1078,9.0
1689878158.5884278,1083,6.0
1689878167.056523,1093,1.0
1689878171.1566534,1099,3.0
1689878175.9650316,1104,26.0
1689878215.28441,1156,6.0
1689878220.5557082,1161,15.0
1689878221.0400925,1162,4.0
1689878237.2148402,1180,6.0
1689878246.41544,1193,0.0
1689878255.5283623,1206,3.0
1689878284.127403,1244,6.0
1689878297.2706525,1261,8.0
1689878311.8324134,1281,2.0
1689878321.1949077,1294,4.0
1689878338.5395706,1316,20.0
1689878342.0415015,1319,1.0
1689878353.0149536,1333,11.0
1689878356.674241,1337,12.0
