Wall time,Step,Value
1689896571.954038,18,5.0
1689896609.96967,42,6.0
1689896612.9384274,45,5.0
1689896634.0958567,56,9.0
1689896657.2364786,71,2.0
1689896660.6739776,74,5.0
1689896687.4082737,94,0.0
1689896774.6330962,155,23.0
1689896777.7268562,158,0.0
1689896786.2269285,167,1.0
1689896866.4694052,229,1.0
1689896873.4068983,234,13.0
1689896900.5787742,255,4.0
1689896908.3600194,260,7.0
1689896920.8131468,267,3.0
1689896928.2194006,273,24.0
1689896975.8130817,308,2.0
1689896978.766287,310,6.0
1689896991.0162792,318,14.0
1689897038.4068964,347,10.0
1689897067.0631475,367,5.0
1689897136.3779643,421,1.0
1689897137.3311415,422,3.0
1689897159.6134803,442,4.0
1689897180.597938,460,1.0
1689897197.4416144,474,0.0
1689897285.2142527,536,11.0
1689897325.2194297,563,3.0
1689897348.3756835,579,3.0
1689897359.9069512,586,11.0
1689897361.4225793,587,7.0
1689897410.0475574,620,2.0
1689897430.1256793,634,4.0
1689897444.968896,642,10.0
1689897450.944892,647,5.0
1689897454.0575233,649,4.0
1689897471.7339182,661,1.0
1689897483.8444672,671,7.0
1689897551.6412559,714,10.0
1689897563.375714,722,15.0
1689897572.7975821,730,3.0
1689897616.0955534,756,4.0
1689897631.2050073,765,21.0
1689897637.6525874,769,9.0
1689897641.1838305,771,8.0
1689897663.4024978,785,0.0
1689897665.6525004,787,0.0
1689897674.5743754,794,0.0
1689897689.372545,802,11.0
1689897698.528877,808,9.0
1689897742.0925512,836,20.0
1689897850.6168432,909,5.0
1689897893.9458182,942,5.0
1689897896.7270691,945,6.0
1689897917.5551872,962,2.0
1689897929.2270644,971,4.0
1689897930.8051891,972,8.0
1689897940.6489375,978,14.0
1689897941.3052218,979,1.0
1689897947.758322,984,3.0
1689897972.3376207,1002,2.0
1689897976.4469962,1005,18.0
1689897989.6344945,1014,7.0
1689898054.9938638,1063,29.0
1689898060.6344943,1066,29.0
1689898067.228246,1072,13.0
1689898079.9469128,1078,19.0
1689898087.1344898,1083,1.0
1689898101.4157434,1093,1.0
1689898107.2906635,1099,3.0
1689898116.790738,1104,26.0
1689898198.1378393,1156,8.0
1689898204.5597143,1161,7.0
1689898205.1065872,1162,0.0
1689898231.903526,1180,7.0
1689898245.9397066,1193,1.0
1689898269.082769,1206,1.0
1689898324.9108922,1244,10.0
1689898354.5289004,1261,10.0
1689898383.976371,1281,5.0
1689898401.886004,1294,1.0
1689898437.1242673,1316,5.0
1689898440.733717,1319,8.0
1689898457.764955,1333,4.0
1689898463.9837072,1337,9.0
1689898536.493301,1385,2.0
1689898545.3161185,1392,2.0
1689898570.8034737,1414,5.0
1689898593.5889454,1426,0.0
1689898612.0303624,1436,5.0
1689898647.4010031,1466,12.0
1689898666.2291381,1477,7.0
1689898684.401015,1485,10.0
1689898689.3228817,1491,0.0
1689898736.5728858,1523,10.0
1689898743.5885146,1527,6.0
1689898772.510382,1552,8.0
1689898794.4322608,1568,4.0
1689898796.963506,1569,15.0
1689898819.822822,1584,2.0
1689898824.3229017,1588,9.0
1689898853.9322586,1605,14.0
1689898906.541638,1640,25.0
1689898914.7291386,1648,2.0
1689898945.7603798,1668,7.0
1689898963.1353862,1682,1.0
1689898975.307207,1691,4.0
1689898982.6665547,1697,0.0
1689898989.4322634,1702,3.0
1689899000.3552399,1709,4.0
1689899017.96468,1718,29.0
1689899035.3251579,1732,6.0
1689899037.262738,1734,2.0
1689899041.1388426,1737,4.0
1689899054.4044542,1746,2.0
1689899099.5453002,1781,10.0
1689899138.3421738,1805,15.0
1689899165.5140526,1826,9.0
1689899193.9827945,1844,2.0
1689899210.0140429,1853,7.0
1689899224.3109186,1866,6.0
1689899230.6546698,1869,13.0
1689899246.2327967,1877,8.0
1689899297.9202898,1917,11.0
1689899322.7171788,1934,0.0
1689899337.435935,1944,10.0
1689899341.9671686,1947,15.0
1689899381.2171721,1967,0.0
1689899403.2795942,1983,11.0
1689899428.623416,2001,3.0
1689899443.2816825,2013,8.0
1689899462.0159836,2030,1.0
1689899473.1566117,2036,0.0
1689899510.609739,2060,17.0
1689899529.8128617,2073,4.0
1689899534.125378,2076,11.0
1689899534.7972443,2077,1.0
1689899544.0160117,2085,13.0
1689899551.7662075,2089,11.0
1689899562.5083852,2096,0.0
1689899636.2025013,2145,0.0
1689899640.4368742,2149,8.0
1689899649.4993134,2156,9.0
1689899663.6712513,2165,1.0
1689899704.4212513,2187,20.0
1689899712.9056242,2191,9.0
1689899723.3118885,2199,0.0
1689899734.7974348,2207,1.0
1689899741.3755536,2211,19.0
1689899776.7193127,2231,7.0
1689899785.4693065,2236,15.0
1689899787.031812,2237,8.0
1689899793.7505584,2242,0.0
1689899812.266178,2254,5.0
1689899816.7818007,2257,10.0
1689899824.4705849,2262,2.0
1689899858.2674522,2281,1.0
1689899892.689331,2297,11.0
1689899910.1592505,2307,5.0
1689899930.7842548,2319,2.0
1689899975.2060506,2345,3.0
1689899990.0810504,2354,5.0
1689900039.9464223,2389,5.0
1689900041.368301,2390,6.0
1689900043.2445478,2392,6.0
1689900110.4193246,2436,7.0
1689900121.1380863,2444,2.0
1689900136.1693306,2453,21.0
1689900137.8412101,2455,3.0
1689900141.856833,2460,0.0
1689900173.0912092,2485,17.0
1689900174.3412168,2486,5.0
1689900190.794327,2496,4.0
1689900193.1536536,2498,8.0
1689900203.294329,2503,9.0
1689900219.4662056,2517,1.0
1689900233.5755873,2523,29.0
1689900245.778638,2532,1.0
1689900266.4662113,2547,4.0
1689900276.3724532,2553,2.0
1689900351.8331013,2600,7.0
1689900363.0529819,2606,10.0
1689900383.9135668,2623,3.0
1689900391.5386393,2629,0.0
1689900472.7272277,2678,4.0
1689900488.1021633,2685,14.0
1689900496.3521552,2690,3.0
1689900518.0585737,2703,3.0
1689900570.6938653,2740,1.0
1689900595.2876143,2754,21.0
1689900645.7876186,2789,3.0
1689900762.3670454,2872,9.0
1689900775.0232868,2881,0.0
1689900789.398299,2890,4.0
1689900801.4607987,2896,3.0
1689900836.538916,2920,19.0
1689900911.8357153,2967,12.0
1689900926.1638405,2975,9.0
1689900984.8669832,3011,0.0
1689901010.765309,3027,10.0
1689901016.832124,3030,2.0
1689901032.0359943,3038,3.0
1689901038.0203707,3041,5.0
1689901073.607454,3065,7.0
1689901076.0072389,3069,6.0
1689901096.6389713,3099,8.0
1689901127.3427525,3137,1.0
1689901140.2542925,3155,4.0
1689901144.2946234,3161,3.0
1689901156.3521564,3177,3.0
1689901167.9930887,3195,2.0
1689901168.3993452,3196,1.0
1689901196.3298464,3230,1.0
1689901205.7677376,3240,4.0
1689901207.8720627,3243,0.0
1689901209.1078978,3244,13.0
1689901210.2361052,3246,3.0
1689901211.2578485,3247,8.0
