Wall time,Step,Value
1689833171.5998623,18,5.0
1689833209.7493422,42,6.0
1689833212.9057026,45,5.0
1689833234.3205628,56,9.0
1689833259.366761,71,17.0
1689833262.6510816,74,7.0
1689833288.638101,94,0.0
1689833374.5843127,155,1.0
1689833380.464881,158,4.0
1689833389.3620749,167,1.0
1689833471.1205924,229,8.0
1689833474.9105952,234,4.0
1689833503.5096462,255,9.0
1689833510.6487966,260,3.0
1689833522.8483741,267,13.0
1689833530.1888328,273,0.0
1689833571.1254983,308,12.0
1689833573.1377368,310,5.0
1689833581.6714237,318,7.0
1689833624.12804,347,9.0
1689833646.0517614,367,1.0
1689833724.5809333,421,0.0
1689833725.6174972,422,4.0
1689833751.2539933,442,3.0
1689833780.6402154,460,1.0
1689833801.3950226,474,2.0
1689833884.4113097,536,4.0
1689833922.2904449,563,10.0
1689833939.790453,579,6.0
1689833949.6473215,586,14.0
1689833950.1974857,587,0.0
1689834008.104182,620,18.0
1689834024.580233,634,9.0
1689834035.6535327,642,9.0
1689834042.8767812,647,17.0
1689834047.1521907,649,26.0
1689834063.956804,661,7.0
1689834081.6527376,671,2.0
1689834144.0005374,714,6.0
1689834157.3791962,722,7.0
1689834167.1958983,730,26.0
1689834203.4952536,756,13.0
1689834219.802717,765,0.0
1689834227.4868627,769,23.0
1689834230.5982983,771,13.0
1689834245.6666112,785,1.0
1689834248.371663,787,0.0
1689834263.0661914,794,21.0
1689834279.3422003,802,11.0
1689834285.719115,808,5.0
1689834325.913318,836,16.0
1689834415.9630194,909,10.0
1689834455.4415085,942,10.0
1689834461.5877721,945,0.0
1689834481.5249095,962,0.0
1689834495.3435998,971,15.0
1689834497.6235626,972,13.0
1689834503.2691786,978,2.0
1689834504.1962662,979,3.0
1689834509.0832722,984,1.0
1689834534.9769886,1002,17.0
1689834538.338661,1005,3.0
1689834551.8930001,1014,7.0
1689834622.8776965,1063,5.0
1689834626.5706875,1066,1.0
1689834640.0501406,1072,24.0
1689834650.5460122,1078,21.0
1689834658.52947,1083,6.0
1689834674.9013689,1093,4.0
1689834685.6797616,1099,4.0
1689834692.0292685,1104,2.0
1689834761.6026642,1156,1.0
1689834770.5725706,1161,11.0
1689834773.5124857,1162,19.0
1689834801.8714802,1180,6.0
1689834816.884274,1193,2.0
1689834834.9506233,1206,0.0
1689834898.4697826,1244,5.0
1689834923.904328,1261,19.0
1689834955.914321,1281,8.0
1689834976.5524101,1294,9.0
1689835012.5814314,1316,2.0
1689835016.3547351,1319,11.0
1689835035.9366338,1333,16.0
1689835042.6334605,1337,11.0
1689835115.0131137,1385,1.0
1689835124.2371633,1392,3.0
1689835160.439988,1414,5.0
1689835172.5217073,1426,5.0
1689835183.0635858,1436,5.0
1689835229.6701248,1466,15.0
1689835245.220313,1477,2.0
1689835252.7289605,1485,3.0
1689835258.542293,1491,3.0
1689835313.8379774,1523,3.0
1689835317.2343094,1527,6.0
1689835358.2228472,1552,0.0
1689835381.3993673,1568,5.0
1689835383.7579188,1569,14.0
1689835403.185327,1584,5.0
1689835410.2289567,1588,8.0
1689835432.6976306,1605,2.0
1689835479.9615157,1640,6.0
1689835492.2560334,1648,3.0
1689835522.705615,1668,9.0
1689835539.0415747,1682,2.0
1689835551.0511928,1691,5.0
1689835558.7144907,1697,8.0
1689835566.9553742,1702,4.0
1689835577.685318,1709,13.0
1689835591.9222333,1718,2.0
1689835609.2860405,1732,9.0
1689835610.5262911,1734,1.0
1689835616.011258,1737,10.0
1689835628.2976081,1746,1.0
1689835680.3938003,1781,6.0
1689835719.4500573,1805,20.0
1689835750.4889977,1826,11.0
1689835772.8751028,1844,13.0
1689835783.3933039,1853,1.0
1689835800.3733017,1866,9.0
1689835804.0666842,1869,1.0
1689835812.5091712,1877,2.0
1689835871.1032763,1917,0.0
1689835893.9777193,1934,0.0
1689835909.211712,1944,17.0
1689835915.0576668,1947,6.0
1689835945.039546,1967,6.0
1689835967.9409547,1983,3.0
1689835998.3730843,2001,2.0
1689836012.5221171,2013,4.0
1689836036.0727031,2030,7.0
1689836048.2336462,2036,18.0
1689836086.3652663,2060,20.0
1689836105.7998827,2073,9.0
1689836112.962035,2076,6.0
1689836115.3662946,2077,15.0
1689836127.809361,2085,4.0
1689836136.2297442,2089,17.0
1689836146.3956594,2096,0.0
1689836235.6909924,2145,10.0
1689836240.786179,2149,5.0
1689836250.6324952,2156,2.0
1689836261.7817147,2165,12.0
1689836292.5374424,2187,9.0
1689836302.4902632,2191,18.0
1689836317.0994368,2199,2.0
1689836335.2930627,2207,6.0
1689836341.7879598,2211,13.0
1689836373.1258554,2231,14.0
1689836380.1862035,2236,7.0
