Wall time,Step,Value
1689804098.6579099,18,8.0
1689804133.4284902,42,9.0
1689804138.0920146,45,15.0
1689804149.0705023,56,6.0
1689804165.3825934,71,1.0
1689804167.946292,74,12.0
1689804183.7982078,94,10.0
1689804236.0272887,155,4.0
1689804239.5461676,158,0.0
1689804254.6879287,167,13.0
1689804335.989473,229,3.0
1689804342.8387325,234,8.0
1689804367.4681756,255,7.0
1689804375.006564,260,0.0
1689804384.5328836,267,7.0
1689804394.307546,273,4.0
1689804447.7937827,308,1.0
1689804449.8857305,310,7.0
1689804458.200697,318,0.0
1689804490.8256361,347,23.0
1689804519.9097538,367,2.0
1689804599.6355577,421,0.0
1689804600.2174976,422,0.0
1689804625.5989916,442,1.0
1689804652.055326,460,7.0
1689804668.3023803,474,0.0
1689804772.9382696,536,11.0
1689804811.575565,563,3.0
1689804833.0962238,579,8.0
1689804844.1077535,586,1.0
1689804846.0548723,587,12.0
1689804897.7347164,620,4.0
1689804921.7669878,634,11.0
1689804931.4500086,642,12.0
1689804939.0254974,647,17.0
1689804940.5053284,649,2.0
1689804956.767696,661,10.0
1689804968.6976297,671,1.0
1689805031.2038946,714,29.0
1689805043.5834742,722,3.0
1689805057.1905537,730,2.0
1689805097.932558,756,2.0
1689805111.8546498,765,3.0
1689805118.5331154,769,21.0
1689805122.6661458,771,23.0
1689805141.0407875,785,10.0
1689805145.9238954,787,29.0
1689805154.237979,794,0.0
1689805166.2433105,802,0.0
1689805172.3395374,808,1.0
1689805216.764009,836,4.0
1689805321.032758,909,14.0
1689805364.7419443,942,2.0
1689805368.1810308,945,12.0
1689805392.0771687,962,14.0
1689805405.2294157,971,9.0
1689805406.14075,972,3.0
1689805416.9679503,978,28.0
1689805418.0621643,979,4.0
1689805426.728487,984,14.0
1689805446.9719326,1002,6.0
1689805450.3195775,1005,0.0
1689805464.2446382,1014,23.0
1689805542.8466892,1063,4.0
1689805547.9781525,1066,0.0
1689805557.2254708,1072,24.0
1689805568.4079301,1078,7.0
1689805577.0646539,1083,21.0
1689805592.056523,1093,5.0
1689805600.1662357,1099,15.0
1689805611.3116708,1104,8.0
1689805677.045808,1156,9.0
1689805684.3352122,1161,27.0
1689805685.0864747,1162,2.0
1689805714.3771343,1180,6.0
1689805731.0151575,1193,0.0
1689805747.715605,1206,5.0
1689805811.4017565,1244,8.0
1689805841.5144253,1261,3.0
1689805870.702378,1281,0.0
1689805889.179685,1294,6.0
1689805929.4041555,1316,1.0
1689805935.2880063,1319,29.0
1689805953.8962996,1333,1.0
1689805961.3280683,1337,28.0
1689806033.5578012,1385,0.0
1689806043.5420012,1392,1.0
1689806081.6919632,1414,15.0
1689806103.24858,1426,23.0
1689806118.5840256,1436,1.0
1689806167.4140468,1466,4.0
1689806184.3920555,1477,3.0
1689806194.0179465,1485,7.0
1689806204.1912606,1491,4.0
1689806257.817828,1523,2.0
1689806263.1383243,1527,16.0
1689806295.332185,1552,5.0
1689806316.292078,1568,0.0
1689806318.9190521,1569,18.0
1689806344.5068984,1584,29.0
1689806351.8931336,1588,29.0
1689806377.2389827,1605,6.0
1689806428.7566721,1640,1.0
1689806440.014939,1648,3.0
1689806468.0788379,1668,3.0
1689806493.2908895,1682,1.0
1689806505.6115305,1691,21.0
1689806513.8268197,1697,4.0
1689806520.9349139,1702,6.0
1689806531.4338157,1709,14.0
1689806546.4008367,1718,0.0
1689806562.8344035,1732,1.0
1689806565.619772,1734,5.0
1689806569.8493924,1737,5.0
1689806581.1927702,1746,5.0
1689806629.4934,1781,13.0
1689806660.5716765,1805,2.0
1689806693.84486,1826,0.0
1689806724.757477,1844,7.0
1689806734.8551357,1853,7.0
1689806750.3321445,1866,6.0
1689806754.4485066,1869,2.0
1689806772.0547636,1877,2.0
1689806836.0094087,1917,17.0
1689806869.355298,1934,23.0
1689806881.9063287,1944,17.0
1689806885.5207427,1947,6.0
1689806916.7379365,1967,16.0
1689806933.705653,1983,14.0
1689806962.5513935,2001,0.0
1689806983.5069432,2013,12.0
1689807006.5174098,2030,1.0
1689807013.8879247,2036,13.0
1689807046.1468244,2060,22.0
1689807066.6358433,2073,8.0
1689807070.3925729,2076,9.0
1689807071.2706594,2077,3.0
1689807081.2266307,2085,1.0
1689807088.6111915,2089,16.0
1689807100.6686454,2096,20.0
1689807176.9109132,2145,12.0
1689807184.4402487,2149,7.0
1689807193.4223003,2156,4.0
1689807205.771112,2165,5.0
1689807245.224637,2187,10.0
1689807250.5333345,2191,2.0
1689807265.7152147,2199,2.0
1689807275.5430114,2207,8.0
1689807280.3603456,2211,2.0
1689807312.1614342,2231,0.0
1689807317.6073956,2236,1.0
1689807318.3263762,2237,1.0
1689807326.2962532,2242,6.0
1689807340.2532794,2254,13.0
1689807343.8594885,2257,5.0
1689807350.528445,2262,1.0
1689807368.5377073,2281,18.0
1689807384.4439247,2297,2.0
1689807397.709979,2307,4.0
1689807420.7335582,2319,5.0
1689807463.1532574,2345,16.0
1689807476.5102103,2354,1.0
1689807528.4859278,2389,9.0
1689807529.3986716,2390,3.0
1689807535.0119345,2392,17.0
1689807595.723869,2436,2.0
1689807602.6734645,2444,0.0
1689807613.0482728,2453,3.0
1689807619.1490908,2455,26.0
1689807626.1928766,2460,7.0
1689807664.4076114,2485,3.0
1689807667.0326898,2486,18.0
1689807677.2819667,2496,4.0
1689807679.2783294,2498,0.0
1689807690.3129904,2503,8.0
1689807711.4439437,2517,13.0
1689807719.7126324,2523,7.0
1689807734.2238746,2532,16.0
1689807757.4389224,2547,13.0
1689807767.5766804,2553,5.0
1689807837.591806,2600,9.0
1689807845.1371658,2606,4.0
1689807872.126778,2623,0.0
1689807879.339651,2629,2.0
1689807967.7125664,2678,0.0
1689807981.9967093,2685,14.0
1689807987.983485,2690,0.0
1689808003.219179,2703,0.0
1689808061.780142,2740,9.0
1689808078.8877609,2754,2.0
1689808128.4138372,2789,1.0
1689808249.8461993,2872,0.0
1689808259.5630999,2881,2.0
1689808277.511828,2890,1.0
1689808287.6156936,2896,15.0
1689808324.9303663,2920,20.0
1689808412.2881858,2967,1.0
1689808429.832111,2975,1.0
