2023-07-12 16:47:02.431850 - Starting learning loop ...
==================================================================
2023-07-12 16:47:02.431850 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-12 16:47:02.431850 - Loglevel is set to: a
2023-07-12 16:58:58.770001 - Epoc #	790	 8.674031972885132
2023-07-12 16:59:08.988687 - Epoc #	800	 10.2186861038208
2023-07-12 16:59:18.350721 - Epoc #	810	 9.36203384399414
2023-07-12 16:59:27.054714 - Epoc #	820	 8.703993082046509
2023-07-12 16:59:36.134878 - Epoc #	830	 9.080163955688477
2023-07-12 16:59:45.354604 - Epoc #	840	 9.219726085662842
2023-07-12 16:59:54.542728 - Epoc #	850	 9.188123941421509
2023-07-12 17:00:03.576462 - Epoc #	860	 9.03373408317566
2023-07-12 17:00:12.807097 - Epoc #	870	 9.230634927749634
2023-07-12 17:00:22.158353 - Epoc #	880	 9.351256132125854
2023-07-12 17:00:31.179722 - Epoc #	890	 9.021368980407715
2023-07-12 17:00:40.277963 - Epoc #	900	 9.098240852355957
2023-07-12 17:00:49.142229 - Epoc #	910	 8.864266157150269
2023-07-12 17:00:58.101423 - Epoc #	920	 8.95919394493103
2023-07-12 17:01:06.911809 - Epoc #	930	 8.810385942459106
2023-07-12 17:01:16.366335 - Epoc #	940	 9.4545259475708
2023-07-12 17:01:25.119860 - Epoc #	950	 8.753525018692017
2023-07-12 17:01:33.984339 - Epoc #	960	 8.864479064941406
2023-07-12 17:01:43.016542 - Epoc #	970	 9.032202959060669
2023-07-12 17:01:51.898558 - Epoc #	980	 8.882015943527222
2023-07-12 17:02:01.149198 - Epoc #	990	 9.250640153884888
2023-07-12 17:02:10.848522 - Epoc #	1000	 9.699323892593384
2023-07-12 17:02:20.229766 - Epoc #	1010	 9.38124394416809
2023-07-12 17:02:29.204322 - Epoc #	1020	 8.97455620765686
2023-07-12 17:02:37.848782 - Epoc #	1030	 8.644459962844849
2023-07-12 17:02:47.012122 - Epoc #	1040	 9.163339853286743
2023-07-12 17:02:56.080282 - Epoc #	1050	 9.068160057067871
2023-07-12 17:03:04.869749 - Epoc #	1060	 8.789467096328735
2023-07-12 17:03:07.685731 - Time between reward step: #	965.2538809776306
2023-07-12 17:03:07.685731 - Average Score: 12.00 Elapsed time: 0:16:06.535984
2023-07-12 17:03:14.070676 - Epoc #	1070	 9.200927019119263
2023-07-12 17:03:22.971683 - Epoc #	1080	 8.901006937026978
2023-07-12 17:03:32.384367 - Epoc #	1090	 9.412683963775635
2023-07-12 17:03:41.607362 - Epoc #	1100	 9.222995042800903
2023-07-12 17:03:50.673340 - Epoc #	1110	 9.065978050231934
2023-07-12 17:04:00.221783 - Epoc #	1120	 9.548442840576172
2023-07-12 17:04:09.697755 - Epoc #	1130	 9.475972175598145
2023-07-12 17:04:19.390411 - Epoc #	1140	 9.692655801773071
2023-07-12 17:04:28.374582 - Epoc #	1150	 8.984171152114868
2023-07-12 17:04:37.321534 - Epoc #	1160	 8.946951866149902
2023-07-12 17:04:46.527811 - Epoc #	1170	 9.206277132034302
2023-07-12 17:04:56.147392 - Epoc #	1180	 9.6195809841156
2023-07-12 17:05:05.026951 - Epoc #	1190	 8.87955904006958
2023-07-12 17:05:14.882002 - Epoc #	1200	 9.855051040649414
2023-07-12 17:05:24.429966 - Epoc #	1210	 9.547963857650757
2023-07-12 17:05:33.508875 - Epoc #	1220	 9.078908920288086
2023-07-12 17:05:43.052479 - Epoc #	1230	 9.543604135513306
2023-07-12 17:05:52.045859 - Epoc #	1240	 8.993380069732666
2023-07-12 17:06:01.625228 - Epoc #	1250	 9.579368829727173
2023-07-12 17:06:10.628981 - Epoc #	1260	 9.003753185272217
2023-07-12 17:06:19.738178 - Epoc #	1270	 9.109196901321411
2023-07-12 17:06:28.709586 - Epoc #	1280	 8.971407890319824
2023-07-12 17:06:37.766243 - Epoc #	1290	 9.056657075881958
2023-07-12 17:06:46.865612 - Epoc #	1300	 9.099369049072266
2023-07-12 17:06:55.901934 - Epoc #	1310	 9.036321878433228
2023-07-12 17:07:05.614415 - Epoc #	1320	 9.712481021881104
2023-07-12 17:07:14.643157 - Epoc #	1330	 9.02874207496643
2023-07-12 17:07:23.431825 - Epoc #	1340	 8.788667917251587
2023-07-12 17:07:32.331790 - Epoc #	1350	 8.899965047836304
2023-07-12 17:07:41.447309 - Epoc #	1360	 9.115519046783447
2023-07-12 17:07:50.572315 - Epoc #	1370	 9.125005960464478
2023-07-12 17:08:00.384807 - Epoc #	1380	 9.81249213218689
2023-07-12 17:08:09.634810 - Epoc #	1390	 9.25000286102295
2023-07-12 17:08:18.822305 - Epoc #	1400	 9.187494993209839
2023-07-12 17:08:27.979049 - Epoc #	1410	 9.156744003295898
2023-07-12 17:08:37.916543 - Epoc #	1420	 9.937494039535522
2023-07-12 17:08:47.417748 - Epoc #	1430	 9.50120496749878
2023-07-12 17:08:57.027132 - Epoc #	1440	 9.609384059906006
2023-07-12 17:09:06.092584 - Epoc #	1450	 9.065451860427856
2023-07-12 17:09:15.219987 - Epoc #	1460	 9.127403020858765
2023-07-12 17:09:24.283479 - Epoc #	1470	 9.063492059707642
2023-07-12 17:09:33.285664 - Epoc #	1480	 9.002185106277466
2023-07-12 17:09:42.320021 - Epoc #	1490	 9.034356832504272
2023-07-12 17:09:51.322672 - Epoc #	1500	 9.00265097618103
2023-07-12 17:10:00.637351 - Epoc #	1510	 9.314679145812988
2023-07-12 17:10:09.874807 - Epoc #	1520	 9.23745584487915
2023-07-12 17:10:19.049125 - Epoc #	1530	 9.174318075180054
2023-07-12 17:10:28.409252 - Epoc #	1540	 9.360126972198486
2023-07-12 17:10:37.409825 - Epoc #	1550	 9.00057315826416
2023-07-12 17:10:47.286891 - Epoc #	1560	 9.877065896987915
2023-07-12 17:10:56.539159 - Epoc #	1570	 9.252268075942993
2023-07-12 17:11:06.278884 - Epoc #	1580	 9.73972487449646
2023-07-12 17:11:15.750852 - Epoc #	1590	 9.471968173980713
2023-07-12 17:11:26.049702 - Epoc #	1600	 10.298849821090698
2023-07-12 17:11:36.036918 - Epoc #	1610	 9.987215995788574
2023-07-12 17:11:45.399604 - Epoc #	1620	 9.347062110900879
2023-07-12 17:11:54.291114 - Epoc #	1630	 8.891510009765625
2023-07-12 17:12:03.593498 - Epoc #	1640	 9.30238389968872
2023-07-12 17:12:12.879031 - Epoc #	1650	 9.28553295135498
2023-07-12 17:12:22.132883 - Epoc #	1660	 9.253852128982544
2023-07-12 17:12:31.107664 - Epoc #	1670	 8.974781036376953
2023-07-12 17:12:39.970638 - Epoc #	1680	 8.862973928451538
2023-07-12 17:12:49.037194 - Epoc #	1690	 9.066555976867676
2023-07-12 17:12:58.013183 - Epoc #	1700	 8.97598910331726
2023-07-12 17:13:06.855537 - Epoc #	1710	 8.842353820800781
2023-07-12 17:13:15.916278 - Epoc #	1720	 9.060740947723389
2023-07-12 17:13:26.486486 - Epoc #	1730	 10.570208072662354
2023-07-12 17:13:35.399841 - Epoc #	1740	 8.913355112075806
2023-07-12 17:13:44.306090 - Epoc #	1750	 8.906249046325684
2023-07-12 17:13:53.165513 - Epoc #	1760	 8.8594229221344
2023-07-12 17:14:02.259215 - Epoc #	1770	 9.0937020778656
2023-07-12 17:14:11.665360 - Epoc #	1780	 9.406144857406616
2023-07-12 17:14:20.838870 - Epoc #	1790	 9.173510074615479
2023-07-12 17:14:30.262162 - Epoc #	1800	 9.4232919216156
2023-07-12 17:14:39.373933 - Epoc #	1810	 9.11177110671997
2023-07-12 17:14:48.514771 - Epoc #	1820	 9.140837907791138
2023-07-12 17:14:58.548495 - Epoc #	1830	 10.033724069595337
2023-07-12 17:15:07.801082 - Epoc #	1840	 9.252586841583252
2023-07-12 17:15:17.352160 - Epoc #	1850	 9.551078081130981
2023-07-12 17:15:26.484508 - Epoc #	1860	 9.13234806060791
2023-07-12 17:15:35.477813 - Epoc #	1870	 8.993304967880249
2023-07-12 17:15:44.446513 - Epoc #	1880	 8.968699932098389
2023-07-12 17:15:53.759039 - Epoc #	1890	 9.312525987625122
2023-07-12 17:16:02.493388 - Epoc #	1900	 8.734349012374878
2023-07-12 17:16:11.682636 - Epoc #	1910	 9.189248085021973
2023-07-12 17:16:20.667680 - Epoc #	1920	 8.985044002532959
2023-07-12 17:16:30.638829 - Epoc #	1930	 9.97114896774292
2023-07-12 17:16:39.764261 - Epoc #	1940	 9.125432014465332
2023-07-12 17:16:48.795466 - Epoc #	1950	 9.03120493888855
2023-07-12 17:16:57.577376 - Epoc #	1960	 8.781909942626953
2023-07-12 17:17:06.736111 - Epoc #	1970	 9.158735036849976
2023-07-12 17:17:15.879387 - Epoc #	1980	 9.14327597618103
2023-07-12 17:17:24.898335 - Epoc #	1990	 9.018948078155518
2023-07-12 17:17:33.902520 - Epoc #	2000	 9.00418496131897
2023-07-12 17:17:42.735209 - Epoc #	2010	 8.832689046859741
2023-07-12 17:17:52.017191 - Epoc #	2020	 9.281981945037842
2023-07-12 17:18:01.113612 - Epoc #	2030	 9.096421003341675
2023-07-12 17:18:10.757992 - Epoc #	2040	 9.64438009262085
2023-07-12 17:18:20.070556 - Epoc #	2050	 9.3125638961792
2023-07-12 17:18:29.096976 - Epoc #	2060	 9.02642011642456
2023-07-12 17:18:38.094798 - Epoc #	2070	 8.997822046279907
2023-07-12 17:18:47.233468 - Epoc #	2080	 9.138669967651367
2023-07-12 17:18:56.825431 - Epoc #	2090	 9.591963052749634
2023-07-12 17:19:07.319720 - Epoc #	2100	 10.494288921356201
2023-07-12 17:19:16.523973 - Epoc #	2110	 9.20425295829773
2023-07-12 17:19:25.455929 - Epoc #	2120	 8.931956052780151
2023-07-12 17:19:34.520228 - Epoc #	2130	 9.064298868179321
2023-07-12 17:19:43.895487 - Epoc #	2140	 9.375259160995483
2023-07-12 17:19:53.037236 - Epoc #	2150	 9.141748905181885
