2023-07-12 18:06:17.188407 - Starting learning loop ...
==================================================================
2023-07-12 18:06:17.188407 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-12 18:06:17.188407 - Loglevel is set to: a
2023-07-12 18:06:17.188407 - Epoc #	0	 
2023-07-12 18:06:29.682575 - Epoc #	10	 12.494168043136597
2023-07-12 18:06:43.265253 - Epoc #	20	 13.582678079605103
2023-07-12 18:06:56.773788 - Epoc #	30	 13.508534908294678
2023-07-12 18:07:09.858302 - Epoc #	40	 13.084514141082764
2023-07-12 18:07:22.730464 - Epoc #	50	 12.872161865234375
2023-07-12 18:07:36.001813 - Epoc #	60	 13.27134895324707
2023-07-12 18:07:49.576165 - Epoc #	70	 13.574352025985718
2023-07-12 18:08:03.201161 - Epoc #	80	 13.624995946884155
2023-07-12 18:08:16.177876 - Epoc #	90	 12.976715087890625
2023-07-12 18:08:29.304858 - Epoc #	100	 13.126981973648071
2023-07-12 18:08:33.449460 - Time between reward step: #	136.26105308532715
2023-07-12 18:08:33.449460 - Average Score: 13.00 Elapsed time: 0:02:17.533060
2023-07-12 18:08:42.042495 - Epoc #	110	 12.737637042999268
2023-07-12 18:08:54.638468 - Epoc #	120	 12.595973014831543
2023-07-12 18:09:08.002832 - Epoc #	130	 13.3643639087677
2023-07-12 18:09:21.161379 - Epoc #	140	 13.158547163009644
2023-07-12 18:09:34.317047 - Epoc #	150	 13.155668020248413
2023-07-12 18:09:47.519110 - Epoc #	160	 13.202062845230103
2023-07-12 18:10:00.317713 - Epoc #	170	 12.798603057861328
2023-07-12 18:10:13.458068 - Epoc #	180	 13.140354871749878
2023-07-12 18:10:26.536808 - Epoc #	190	 13.078740119934082
2023-07-12 18:10:39.498576 - Epoc #	200	 12.96176791191101
2023-07-12 18:10:53.548684 - Epoc #	210	 14.050107955932617
2023-07-12 18:11:06.961532 - Epoc #	220	 13.412848234176636
2023-07-12 18:11:19.741246 - Epoc #	230	 12.779713869094849
2023-07-12 18:11:33.016729 - Epoc #	240	 13.275483131408691
2023-07-12 18:11:45.693453 - Epoc #	250	 12.676723957061768
2023-07-12 18:11:58.814774 - Epoc #	260	 13.121320962905884
2023-07-12 18:12:11.543471 - Epoc #	270	 12.728697061538696
