2023-07-13 03:36:43.693530 - Starting learning loop ...
==================================================================
2023-07-13 03:36:43.693530 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-13 03:52:54.343916 - Epoc #	790	 12.40094804763794
2023-07-13 03:53:06.993759 - Epoc #	800	 12.649842977523804
2023-07-13 03:53:19.318831 - Epoc #	810	 12.325072050094604
2023-07-13 03:53:32.012066 - Epoc #	820	 12.693234920501709
2023-07-13 03:53:44.737677 - Epoc #	830	 12.725611209869385
2023-07-13 03:53:57.106639 - Epoc #	840	 12.368961811065674
2023-07-13 03:54:09.612258 - Epoc #	850	 12.505619049072266
2023-07-13 03:54:21.922306 - Epoc #	860	 12.31004810333252
2023-07-13 03:54:35.146211 - Epoc #	870	 13.223904848098755
2023-07-13 03:54:47.624793 - Epoc #	880	 12.47858214378357
2023-07-13 03:55:00.233331 - Epoc #	890	 12.608537912368774
2023-07-13 03:55:13.669738 - Epoc #	900	 13.436407089233398
2023-07-13 03:55:25.910176 - Epoc #	910	 12.240437984466553
2023-07-13 03:55:38.353943 - Epoc #	920	 12.443767070770264
2023-07-13 03:55:51.126561 - Epoc #	930	 12.772617816925049
2023-07-13 03:56:03.476856 - Epoc #	940	 12.350295066833496
2023-07-13 03:56:16.470725 - Epoc #	950	 12.993869066238403
2023-07-13 03:56:28.381727 - Epoc #	960	 11.911001920700073
2023-07-13 03:56:41.100841 - Epoc #	970	 12.719114065170288
2023-07-13 03:56:54.045067 - Epoc #	980	 12.944226026535034
2023-07-13 03:57:06.457358 - Epoc #	990	 12.412290811538696
2023-07-13 03:57:19.146172 - Epoc #	1000	 12.688814163208008
2023-07-13 03:57:31.558372 - Epoc #	1010	 12.412199974060059
2023-07-13 03:57:43.710212 - Epoc #	1020	 12.151839971542358
2023-07-13 03:57:56.457741 - Epoc #	1030	 12.747529029846191
2023-07-13 03:58:09.029718 - Epoc #	1040	 12.571976900100708
2023-07-13 03:58:21.433670 - Epoc #	1050	 12.40395212173462
2023-07-13 03:58:34.424339 - Epoc #	1060	 12.990669012069702
2023-07-13 03:58:47.468938 - Epoc #	1070	 13.044599056243896
2023-07-13 03:58:59.949820 - Epoc #	1080	 12.480881929397583
2023-07-13 03:59:12.539187 - Epoc #	1090	 12.589366912841797
2023-07-13 03:59:25.737117 - Epoc #	1100	 13.197930097579956
2023-07-13 03:59:38.292566 - Epoc #	1110	 12.55544900894165
2023-07-13 03:59:51.260926 - Epoc #	1120	 12.96835994720459
2023-07-13 04:00:04.223086 - Epoc #	1130	 12.962160110473633
2023-07-13 04:00:15.905223 - Epoc #	1140	 11.68213677406311
2023-07-13 04:00:28.331758 - Epoc #	1150	 12.42653512954712
2023-07-13 04:00:40.445528 - Epoc #	1160	 12.113770008087158
2023-07-13 04:00:53.579622 - Epoc #	1170	 13.134093999862671
2023-07-13 04:01:06.308256 - Epoc #	1180	 12.728633880615234
2023-07-13 04:01:19.769318 - Epoc #	1190	 13.46106219291687
2023-07-13 04:01:32.736693 - Epoc #	1200	 12.967374801635742
2023-07-13 04:01:45.147510 - Epoc #	1210	 12.41081714630127
2023-07-13 04:01:57.821192 - Epoc #	1220	 12.67368197441101
2023-07-13 04:02:11.024642 - Epoc #	1230	 13.203449964523315
2023-07-13 04:02:22.969194 - Epoc #	1240	 11.944551944732666
2023-07-13 04:02:35.643761 - Epoc #	1250	 12.674566984176636
2023-07-13 04:02:48.465667 - Epoc #	1260	 12.821906089782715
2023-07-13 04:03:01.268947 - Epoc #	1270	 12.803279876708984
2023-07-13 04:03:13.685429 - Epoc #	1280	 12.416482210159302
2023-07-13 04:03:26.320224 - Epoc #	1290	 12.63479495048523
2023-07-13 04:03:38.573051 - Epoc #	1300	 12.252826929092407
2023-07-13 04:03:52.024462 - Epoc #	1310	 13.451411008834839
2023-07-13 04:04:05.145952 - Epoc #	1320	 13.121490001678467
2023-07-13 04:04:17.580944 - Epoc #	1330	 12.43499207496643
2023-07-13 04:04:31.030907 - Epoc #	1340	 13.449962854385376
2023-07-13 04:04:43.959457 - Epoc #	1350	 12.928550004959106
2023-07-13 04:04:56.762751 - Epoc #	1360	 12.80329418182373
2023-07-13 04:05:09.504466 - Epoc #	1370	 12.74171495437622
2023-07-13 04:05:23.185210 - Epoc #	1380	 13.680743932723999
2023-07-13 04:05:35.880664 - Epoc #	1390	 12.695454120635986
2023-07-13 04:05:48.944629 - Epoc #	1400	 13.06396484375
2023-07-13 04:06:01.358923 - Epoc #	1410	 12.414294004440308
2023-07-13 04:06:14.903871 - Epoc #	1420	 13.544948101043701
2023-07-13 04:06:27.382096 - Epoc #	1430	 12.478224992752075
2023-07-13 04:06:40.613492 - Epoc #	1440	 13.231395959854126
2023-07-13 04:06:53.952938 - Epoc #	1450	 13.339446067810059
2023-07-13 04:07:06.204204 - Epoc #	1460	 12.25126600265503
2023-07-13 04:07:19.091644 - Epoc #	1470	 12.887439966201782
2023-07-13 04:07:31.631819 - Epoc #	1480	 12.540174961090088
2023-07-13 04:07:45.066058 - Epoc #	1490	 13.434238910675049
2023-07-13 04:07:57.245309 - Epoc #	1500	 12.179251194000244
2023-07-13 04:08:10.300170 - Epoc #	1510	 13.054860830307007
2023-07-13 04:08:11.708503 - Time between reward step: #	1888.0149729251862
2023-07-13 04:08:11.708503 - Average Score: 14.00 Elapsed time: 0:31:29.285541
2023-07-13 04:08:23.104949 - Epoc #	1520	 12.804779052734375
2023-07-13 04:08:35.793700 - Epoc #	1530	 12.688750982284546
2023-07-13 04:08:49.443312 - Epoc #	1540	 13.649611949920654
2023-07-13 04:09:01.739645 - Epoc #	1550	 12.296333074569702
2023-07-13 04:09:14.622169 - Epoc #	1560	 12.882524013519287
2023-07-13 04:09:27.512246 - Epoc #	1570	 12.890076875686646
2023-07-13 04:09:41.395873 - Epoc #	1580	 13.88362717628479
2023-07-13 04:09:54.049801 - Epoc #	1590	 12.65392804145813
2023-07-13 04:10:07.276732 - Epoc #	1600	 13.226930856704712
2023-07-13 04:10:19.549561 - Epoc #	1610	 12.272829055786133
2023-07-13 04:10:32.919338 - Epoc #	1620	 13.369776964187622
2023-07-13 04:10:46.104021 - Epoc #	1630	 13.184683084487915
2023-07-13 04:10:58.785405 - Epoc #	1640	 12.681383848190308
2023-07-13 04:11:11.559902 - Epoc #	1650	 12.774497032165527
2023-07-13 04:11:24.632504 - Epoc #	1660	 13.072602033615112
2023-07-13 04:11:37.998345 - Epoc #	1670	 13.365840911865234
2023-07-13 04:11:51.725327 - Epoc #	1680	 13.726982116699219
2023-07-13 04:12:04.185147 - Epoc #	1690	 12.459820032119751
2023-07-13 04:12:17.333835 - Epoc #	1700	 13.148687839508057
2023-07-13 04:12:29.748980 - Epoc #	1710	 12.4151451587677
2023-07-13 04:12:42.443251 - Epoc #	1720	 12.694270849227905
2023-07-13 04:12:55.968146 - Epoc #	1730	 13.524895191192627
2023-07-13 04:13:09.330699 - Epoc #	1740	 13.362552881240845
2023-07-13 04:13:23.084664 - Epoc #	1750	 13.753965139389038
2023-07-13 04:13:36.489575 - Epoc #	1760	 13.404910802841187
2023-07-13 04:13:49.502056 - Epoc #	1770	 13.012480974197388
2023-07-13 04:14:01.822573 - Epoc #	1780	 12.32051706314087
2023-07-13 04:14:14.789027 - Epoc #	1790	 12.966454029083252
2023-07-13 04:14:27.819253 - Epoc #	1800	 13.030225992202759
2023-07-13 04:14:40.902563 - Epoc #	1810	 13.0833101272583
2023-07-13 04:14:54.556324 - Epoc #	1820	 13.65376091003418
2023-07-13 04:15:07.171278 - Epoc #	1830	 12.614953994750977
2023-07-13 04:15:20.502468 - Epoc #	1840	 13.33119010925293
2023-07-13 04:15:34.444407 - Epoc #	1850	 13.941938877105713
2023-07-13 04:15:48.086407 - Epoc #	1860	 13.641999959945679
2023-07-13 04:16:01.274119 - Epoc #	1870	 13.187711954116821
2023-07-13 04:16:14.268242 - Epoc #	1880	 12.994122982025146
2023-07-13 04:16:26.708095 - Epoc #	1890	 12.439853191375732
2023-07-13 04:16:39.531837 - Epoc #	1900	 12.823741912841797
2023-07-13 04:16:52.891248 - Epoc #	1910	 13.359411001205444
2023-07-13 04:17:05.290838 - Epoc #	1920	 12.399590015411377
2023-07-13 04:17:17.995981 - Epoc #	1930	 12.705142974853516
2023-07-13 04:17:30.615065 - Epoc #	1940	 12.619084119796753
2023-07-13 04:17:43.780114 - Epoc #	1950	 13.165048837661743
2023-07-13 04:17:57.768849 - Epoc #	1960	 13.98873496055603
2023-07-13 04:18:10.310233 - Epoc #	1970	 12.541384220123291
2023-07-13 04:18:22.788948 - Epoc #	1980	 12.478714942932129
2023-07-13 04:18:35.262924 - Epoc #	1990	 12.473975896835327
2023-07-13 04:18:47.958965 - Epoc #	2000	 12.696041107177734
2023-07-13 04:19:00.868239 - Epoc #	2010	 12.909273862838745
2023-07-13 04:19:13.722009 - Epoc #	2020	 12.853770017623901
2023-07-13 04:19:26.541365 - Epoc #	2030	 12.819355964660645
2023-07-13 04:19:39.219609 - Epoc #	2040	 12.67824411392212
2023-07-13 04:19:51.744809 - Epoc #	2050	 12.525199890136719
2023-07-13 04:20:04.849762 - Epoc #	2060	 13.104953050613403
2023-07-13 04:20:17.750865 - Epoc #	2070	 12.901103019714355
2023-07-13 04:20:31.409948 - Epoc #	2080	 13.659083127975464
2023-07-13 04:20:44.056087 - Epoc #	2090	 12.646138906478882
