Wall time,Step,Value
1689775648.9857786,18,5.0
1689775668.331485,42,6.0
1689775669.873944,45,5.0
1689775680.3256028,56,9.0
1689775692.1224835,71,2.0
1689775693.9662228,74,5.0
1689775708.1224768,94,0.0
1689775752.687354,155,23.0
1689775754.359236,158,0.0
1689775759.3904955,167,6.0
1689775801.3279493,229,4.0
1689775804.3436072,234,7.0
1689775820.077993,255,3.0
1689775822.7498572,260,5.0
1689775827.7967496,267,11.0
1689775831.9636228,273,10.0
1689775851.6198826,308,1.0
1689775853.260496,310,1.0
1689775860.6197984,318,0.0
1689775881.0886216,347,3.0
1689775894.2292428,367,23.0
1689775929.5261235,421,3.0
1689775929.8542545,422,0.0
1689775942.994884,442,1.0
1689775954.4166777,460,4.0
1689775963.1666722,474,16.0
1689776010.839826,536,4.0
1689776032.4491282,563,0.0
1689776044.3857934,579,14.0
1689776049.9014134,586,6.0
1689776050.8076692,587,8.0
1689776075.8857908,620,15.0
1689776086.3076677,634,9.0
1689776093.9014175,642,25.0
1689776097.292047,647,3.0
1689776098.2775815,649,5.0
1689776107.6537147,661,12.0
1689776115.2318628,671,1.0
1689776142.9025872,714,3.0
1689776148.7812543,722,4.0
1689776154.1730554,730,5.0
1689776174.2044213,756,0.0
1689776181.6628757,765,2.0
1689776184.2885044,769,0.0
1689776185.5385642,771,4.0
1689776194.3872323,785,5.0
1689776195.9052525,787,0.0
1689776202.1427505,794,2.0
1689776212.8533602,802,2.0
1689776216.7760465,808,5.0
1689776238.3608787,836,9.0
1689776293.2865715,909,12.0
1689776319.3026922,942,2.0
1689776321.3195357,945,12.0
1689776332.5427341,962,11.0
1689776337.9448564,971,4.0
1689776338.2969005,972,1.0
1689776341.9155242,978,18.0
1689776342.8853736,979,11.0
1689776345.8469083,984,9.0
1689776358.3787322,1002,0.0
1689776360.4705741,1005,11.0
1689776366.0147042,1014,8.0
1689776403.0130074,1063,0.0
1689776405.7672966,1066,2.0
1689776410.712269,1072,9.0
1689776416.592858,1078,29.0
1689776418.94793,1083,2.0
1689776429.2932389,1093,10.0
1689776434.66991,1099,25.0
1689776437.0042765,1104,0.0
1689776474.9882421,1156,9.0
1689776477.5043426,1161,5.0
1689776477.8012202,1162,0.0
1689776491.5736017,1180,7.0
1689776501.5488827,1193,29.0
1689776509.489506,1206,3.0
1689776538.4590135,1244,13.0
1689776551.561121,1261,29.0
1689776568.5496652,1281,3.0
1689776579.398515,1294,10.0
1689776595.2473543,1316,13.0
1689776598.6671643,1319,29.0
1689776609.65504,1333,20.0
1689776613.877472,1337,2.0
1689776656.5805142,1385,21.0
1689776660.546823,1392,2.0
1689776673.826838,1414,5.0
1689776685.0695684,1426,0.0
1689776694.0400014,1436,5.0
1689776721.8045015,1466,29.0
1689776729.849548,1477,0.0
1689776735.9383624,1485,26.0
1689776740.3918695,1491,3.0
1689776762.8918638,1523,6.0
1689776764.673123,1527,4.0
1689776782.0168653,1552,0.0
1689776792.0168626,1568,4.0
1689776793.2512782,1569,15.0
1689776804.1887062,1584,23.0
1689776806.4387362,1588,0.0
1689776818.6262367,1605,5.0
1689776844.1169567,1640,25.0
1689776849.462188,1648,21.0
1689776863.4018185,1668,8.0
1689776875.4037807,1682,12.0
1689776880.8578768,1691,9.0
1689776884.63947,1697,9.0
1689776888.2488697,1702,11.0
1689776892.6082206,1709,3.0
1689776898.8452387,1718,17.0
1689776908.4401476,1732,13.0
1689776909.705768,1734,3.0
1689776912.4088948,1737,0.0
1689776917.6912696,1746,2.0
1689776944.0959878,1781,8.0
1689776962.0639083,1805,2.0
1689776975.9951587,1826,8.0
1689776990.1416888,1844,11.0
1689776996.77294,1853,6.0
1689777007.233813,1866,0.0
1689777009.1883163,1869,5.0
1689777018.165049,1877,29.0
1689777047.4470816,1917,29.0
1689777061.3889453,1934,8.0
1689777068.3224442,1944,12.0
1689777070.931004,1947,8.0
1689777087.9273012,1967,13.0
1689777100.545884,1983,15.0
1689777118.1419787,2001,3.0
1689777127.4663808,2013,10.0
1689777138.7914968,2030,0.0
1689777143.580802,2036,1.0
1689777166.8619022,2060,20.0
1689777174.2226305,2073,2.0
1689777175.9447098,2076,2.0
1689777176.8677871,2077,8.0
1689777185.4998813,2085,3.0
1689777188.6330776,2089,0.0
1689777192.4527,2096,4.0
1689777233.3914936,2145,6.0
1689777236.4473093,2149,2.0
1689777241.8831964,2156,1.0
1689777249.195687,2165,8.0
1689777269.3675625,2187,12.0
1689777273.5706973,2191,5.0
1689777279.3050678,2199,4.0
1689777285.9772403,2207,5.0
1689777290.3683212,2211,16.0
1689777309.7901947,2231,8.0
1689777315.321442,2236,29.0
1689777315.680807,2237,1.0
1689777319.4156213,2242,4.0
1689777329.7281516,2254,11.0
1689777333.884407,2257,16.0
1689777339.4445374,2262,5.0
1689777357.0539064,2281,5.0
1689777373.897908,2297,3.0
1689777385.7416458,2307,20.0
1689777399.9612808,2319,10.0
1689777422.0132844,2345,11.0
1689777427.233887,2354,12.0
1689777457.0967185,2389,10.0
1689777457.5654728,2390,2.0
1689777458.301263,2392,0.0
1689777494.2048132,2436,11.0
1689777500.3167727,2444,8.0
1689777505.9467995,2453,0.0
1689777506.9805102,2455,0.0
1689777509.8887815,2460,0.0
1689777529.6862295,2485,6.0
1689777531.670606,2486,29.0
1689777540.1624787,2496,4.0
1689777541.0369473,2498,3.0
1689777545.1966689,2503,5.0
1689777558.0181568,2517,8.0
1689777562.709376,2523,1.0
1689777572.4066107,2532,13.0
1689777583.818489,2547,7.0
1689777588.277245,2553,5.0
1689777632.1515162,2600,18.0
1689777639.6983123,2606,13.0
1689777655.0733132,2623,18.0
1689777659.6827598,2629,4.0
1689777708.1084945,2678,24.0
1689777715.8602853,2685,25.0
1689777719.8292496,2690,1.0
1689777730.237464,2703,0.0
1689777760.7186067,2740,20.0
1689777772.3031106,2754,4.0
1689777800.5655246,2789,9.0
1689777867.7414615,2872,0.0
1689777874.835215,2881,29.0
1689777883.6629996,2890,7.0
1689777888.601063,2896,4.0
1689777909.3720198,2920,12.0
1689777950.0582757,2967,8.0
1689777959.0449553,2975,4.0
1689777991.7225182,3011,7.0
1689778005.79359,3027,13.0
1689778007.1217916,3030,0.0
1689778012.5905423,3038,8.0
1689778014.3874235,3041,9.0
1689778032.3994312,3065,16.0
1689778035.4353802,3069,9.0
1689778060.119453,3099,16.0
1689778091.019131,3137,12.0
1689778105.3821464,3155,1.0
1689778111.2671578,3161,0.0
1689778125.3621266,3177,7.0
1689778139.9070034,3195,15.0
1689778140.7210248,3196,6.0
1689778167.1496737,3230,1.0
1689778177.0425928,3240,15.0
1689778180.085184,3243,5.0
1689778180.9153254,3244,6.0
1689778183.1860714,3246,11.0
1689778183.7497098,3247,3.0
1689778203.3355908,3272,6.0
1689778228.999123,3305,22.0
1689778269.5431848,3345,6.0
1689778294.8721554,3376,13.0
1689778320.8412695,3403,0.0
1689778326.2802393,3408,2.0
1689778342.666728,3430,0.0
1689778356.5094745,3449,7.0
1689778367.9072595,3464,5.0
1689778380.685445,3480,2.0
1689778414.086918,3509,3.0
1689778415.9150338,3512,8.0
1689778441.394607,3537,0.0
1689778466.004614,3563,3.0
1689778480.8190553,3580,9.0
1689778494.6475816,3600,1.0
1689778512.9631414,3618,4.0
1689778514.7455418,3620,12.0
1689778516.4491036,3622,5.0
1689778521.1685424,3628,11.0
1689778550.6169028,3656,9.0
1689778561.6205003,3670,3.0
1689778607.7951226,3726,25.0
1689778612.3138509,3730,11.0
1689778623.2117386,3741,5.0
1689778649.6374788,3772,6.0
1689778659.961731,3780,21.0
1689778670.534836,3793,1.0
1689778674.9167526,3798,2.0
1689778687.5260293,3814,0.0
1689778692.0016167,3819,3.0
1689778693.613111,3821,10.0
1689778702.2636235,3831,4.0
1689778705.8295748,3835,19.0
1689778729.1923668,3864,3.0
1689778739.0573523,3876,7.0
1689778794.1881135,3928,7.0
1689778801.8555455,3939,1.0
1689778817.2764747,3956,9.0
1689778847.3701775,3984,29.0
1689778870.0323334,4010,17.0
1689778881.4425664,4022,6.0
1689778892.4753244,4033,9.0
1689778895.7456686,4036,7.0
1689778944.605986,4093,12.0
1689778948.7526743,4098,2.0
1689778950.3017235,4099,21.0
1689778958.029186,4109,5.0
1689779021.486326,4182,0.0
1689779035.2381947,4193,29.0
1689779036.3004866,4194,9.0
1689779038.2119305,4196,7.0
1689779043.3800075,4201,0.0
1689779044.7882664,4202,14.0
1689779066.2015216,4227,12.0
1689779069.969735,4232,2.0
1689779073.520686,4235,15.0
1689779082.1362195,4243,26.0
1689779100.1648257,4263,22.0
1689779102.6840384,4266,11.0
1689779103.0755038,4267,1.0
1689779116.6440866,4282,6.0
1689779141.3415372,4304,9.0
1689779152.638497,4317,23.0
1689779154.1227999,4319,9.0
1689779164.3117847,4332,10.0
1689779192.9430325,4369,8.0
1689779216.0271878,4393,10.0
1689779222.2699852,4400,22.0
1689779227.4908016,4406,1.0
1689779246.4765902,4430,2.0
1689779250.4494376,4433,3.0
1689779308.7124014,4492,23.0
1689779325.2271743,4509,20.0
1689779325.5576675,4510,0.0
1689779343.0737891,4530,10.0
1689779347.4536695,4533,1.0
1689779354.652533,4542,0.0
1689779390.301868,4578,3.0
1689779392.3240063,4581,4.0
1689779408.0047715,4597,0.0
1689779432.6756833,4628,11.0
1689779452.003808,4656,5.0
1689779459.5351021,4664,12.0
1689779463.5360281,4668,12.0
1689779468.9925134,4676,7.0
1689779479.447695,4687,7.0
1689779498.1852088,4713,1.0
1689779503.5947483,4718,0.0
1689779515.0067961,4734,0.0
1689779532.4622989,4750,5.0
1689779539.2495599,4758,6.0
1689779545.4725194,4767,1.0
1689779552.0685391,4776,3.0
1689779563.7516758,4787,1.0
1689779565.3164196,4788,18.0
1689779574.6229901,4800,29.0
1689779575.3281858,4802,2.0
1689779614.3423972,4840,11.0
1689779622.2913978,4852,0.0
1689779638.018204,4871,9.0
1689779658.5191116,4894,18.0
1689779683.0965788,4914,16.0
1689779730.0574636,4962,3.0
1689779736.9335306,4971,22.0
1689779739.122688,4974,1.0
1689779742.5297647,4976,29.0
1689779793.8648033,5027,3.0
1689779796.1520731,5030,5.0
1689779814.0728645,5050,22.0
1689779817.8037102,5052,29.0
1689779818.9994829,5053,17.0
1689779827.5629017,5060,8.0
1689779841.64341,5078,14.0
1689779868.7188854,5106,12.0
