Wall time,Step,Value
1689723959.4961812,18,8.0
1689723989.70282,42,9.0
1689723994.6096685,45,19.0
1689724013.823572,56,8.0
1689724037.3187988,71,2.0
1689724042.036408,74,13.0
1689724069.9201355,94,23.0
1689724150.0701835,155,4.0
1689724155.4633937,158,0.0
1689724164.9926498,167,1.0
1689724247.1526911,229,10.0
1689724251.1159914,234,8.0
1689724275.3270783,255,10.0
1689724282.9525917,260,1.0
1689724295.4492342,267,27.0
1689724304.4696422,273,1.0
1689724348.941147,308,10.0
1689724352.6657183,310,11.0
1689724365.1940925,318,9.0
1689724412.4846652,347,7.0
1689724446.5104947,367,8.0
1689724517.998982,421,4.0
1689724518.6276524,422,1.0
1689724538.884563,442,0.0
1689724560.5280023,460,5.0
1689724581.0995378,474,12.0
1689724669.497383,536,5.0
1689724711.9744065,563,14.0
1689724736.252357,579,6.0
1689724744.831756,586,13.0
1689724746.010768,587,5.0
1689724792.5867074,620,4.0
1689724816.951461,634,9.0
1689724830.459474,642,29.0
1689724836.3323812,647,20.0
1689724841.644203,649,18.0
1689724856.9207976,661,3.0
1689724869.7832363,671,7.0
1689724928.3138926,714,5.0
1689724940.0820193,722,6.0
1689724952.292753,730,8.0
1689724989.0056384,756,6.0
1689725001.5795794,765,7.0
1689725006.2798707,769,9.0
1689725008.8729923,771,6.0
1689725032.816115,785,8.0
1689725035.7018437,787,12.0
1689725042.3491335,794,4.0
1689725051.2693284,802,11.0
1689725058.941079,808,8.0
1689725079.4403849,836,2.0
1689725202.6144958,909,3.0
1689725250.5945003,942,9.0
1689725256.7108717,945,17.0
1689725277.9528108,962,1.0
1689725292.1198952,971,7.0
1689725294.1006417,972,12.0
1689725302.6670048,978,0.0
1689725304.647762,979,10.0
1689725310.3861556,984,7.0
1689725333.062425,1002,11.0
1689725337.9031787,1005,3.0
1689725349.198875,1014,7.0
1689725418.6737843,1063,29.0
1689725420.5882359,1066,2.0
1689725430.8472745,1072,0.0
1689725438.956113,1078,0.0
1689725446.6548414,1083,10.0
1689725461.3780982,1093,1.0
1689725473.0635996,1099,14.0
1689725482.319543,1104,3.0
1689725558.81137,1156,2.0
1689725567.3345678,1161,20.0
1689725568.450273,1162,4.0
1689725596.3585613,1180,29.0
1689725618.8408065,1193,8.0
1689725637.438622,1206,0.0
1689725696.210378,1244,9.0
1689725724.5458975,1261,14.0
1689725751.250235,1281,1.0
1689725774.664145,1294,4.0
1689725808.6898613,1316,2.0
1689725814.4437041,1319,10.0
1689725835.481195,1333,29.0
1689725841.1057248,1337,8.0
1689725908.4668458,1385,2.0
1689725919.1055715,1392,23.0
1689725960.4009318,1414,6.0
1689725980.9029043,1426,10.0
1689725997.607648,1436,3.0
1689726043.6964588,1466,25.0
1689726057.9039898,1477,13.0
1689726072.8302066,1485,29.0
1689726081.2429464,1491,9.0
1689726132.9954326,1523,10.0
1689726136.3925745,1527,2.0
1689726170.498659,1552,9.0
1689726192.8572757,1568,17.0
1689726194.0518029,1569,5.0
1689726220.421419,1584,7.0
1689726227.0383112,1588,12.0
1689726245.9630737,1605,13.0
1689726298.5849576,1640,12.0
1689726307.477474,1648,8.0
1689726340.053847,1668,13.0
1689726358.341032,1682,11.0
1689726371.698043,1691,4.0
1689726379.6476965,1697,3.0
1689726386.8427098,1702,13.0
1689726399.753549,1709,15.0
1689726410.1360576,1718,1.0
1689726427.954775,1732,1.0
1689726431.7554612,1734,10.0
1689726435.5124881,1737,7.0
1689726444.170267,1746,2.0
1689726496.2245865,1781,5.0
1689726528.077059,1805,4.0
1689726563.2926645,1826,13.0
1689726589.0963142,1844,4.0
1689726600.6419656,1853,3.0
1689726619.2160711,1866,0.0
1689726627.5324395,1869,14.0
1689726637.281542,1877,1.0
1689726704.1872208,1917,14.0
1689726728.322337,1934,3.0
1689726743.8887126,1944,2.0
1689726751.088231,1947,6.0
1689726784.5626414,1967,0.0
1689726807.3501937,1983,1.0
1689726835.0656433,2001,17.0
1689726853.265528,2013,2.0
1689726876.1328542,2030,11.0
1689726885.9586365,2036,11.0
1689726917.6841474,2060,1.0
1689726934.158137,2073,1.0
1689726940.1129622,2076,0.0
1689726942.4225924,2077,13.0
1689726955.7801185,2085,2.0
1689726960.3525589,2089,0.0
1689726969.0313842,2096,6.0
1689727045.8042805,2145,1.0
1689727049.3242588,2149,0.0
1689727060.7719116,2156,8.0
1689727076.7958903,2165,1.0
1689727116.789698,2187,18.0
1689727120.782007,2191,2.0
1689727131.5358646,2199,15.0
1689727143.6399348,2207,2.0
1689727149.8665323,2211,8.0
1689727179.1609316,2231,7.0
1689727185.27691,2236,7.0
1689727185.9216774,2237,1.0
1689727192.8414998,2242,3.0
1689727213.1262555,2254,24.0
1689727219.5890281,2257,11.0
1689727226.2593067,2262,7.0
1689727255.0818763,2281,10.0
1689727278.2764273,2297,29.0
1689727294.8502889,2307,11.0
1689727308.955862,2319,0.0
1689727343.0235362,2345,12.0
1689727358.2586389,2354,11.0
1689727405.9703033,2389,5.0
1689727406.6611078,2390,1.0
1689727409.60595,2392,8.0
1689727472.0185125,2436,0.0
1689727479.0909562,2444,1.0
1689727491.0670576,2453,16.0
1689727495.4837105,2455,2.0
1689727502.555798,2460,2.0
1689727542.6932025,2485,18.0
1689727545.0659719,2486,14.0
1689727554.6497948,2496,10.0
1689727555.8443863,2498,1.0
1689727564.7836587,2503,5.0
1689727590.8822074,2517,15.0
1689727600.4332614,2523,15.0
1689727616.9301424,2532,0.0
1689727642.9196916,2547,0.0
1689727650.403923,2553,1.0
1689727733.0811815,2600,9.0
1689727740.0018206,2606,13.0
1689727770.7770374,2623,24.0
1689727781.9715102,2629,29.0
1689727861.5442626,2678,0.0
1689727872.63414,2685,6.0
1689727879.0327432,2690,1.0
1689727897.903278,2703,6.0
1689727952.5954187,2740,3.0
1689727970.6795578,2754,5.0
1689728017.740546,2789,14.0
1689728137.642522,2872,0.0
1689728151.1926503,2881,6.0
1689728163.9118426,2890,12.0
1689728171.5242848,2896,12.0
1689728206.9970665,2920,7.0
1689728286.1084645,2967,3.0
1689728297.3842506,2975,12.0
1689728359.8126137,3011,19.0
1689728383.6996715,3027,3.0
1689728385.727538,3030,1.0
1689728397.7113178,3038,12.0
1689728402.9001677,3041,1.0
1689728440.452804,3065,29.0
1689728446.3222263,3069,19.0
1689728493.868227,3099,0.0
1689728549.5294988,3137,0.0
1689728578.6207006,3155,18.0
1689728588.2548642,3161,29.0
1689728615.450072,3177,16.0
1689728641.057549,3195,5.0
1689728642.867532,3196,9.0
1689728692.294195,3230,3.0
1689728709.66436,3240,3.0
1689728712.5261538,3243,2.0
1689728713.9097946,3244,6.0
1689728716.740857,3246,4.0
1689728717.5901523,3247,2.0
1689728756.1608887,3272,23.0
1689728816.0678446,3305,19.0
1689728879.2620535,3345,5.0
1689728931.9375584,3376,2.0
1689728976.5249875,3403,29.0
1689728982.7975013,3408,17.0
1689729009.544784,3430,1.0
1689729044.0653875,3449,0.0
1689729075.1303334,3464,28.0
1689729108.866861,3480,17.0
1689729147.7049348,3509,13.0
1689729149.9423578,3512,0.0
1689729185.961156,3537,12.0
1689729225.1261675,3563,1.0
1689729256.3423371,3580,10.0
1689729286.9746084,3600,6.0
1689729318.3162153,3618,5.0
1689729320.738773,3620,7.0
1689729323.7740786,3622,7.0
1689729336.7478733,3628,10.0
1689729382.8730514,3656,6.0
1689729403.0798829,3670,0.0
1689729497.6765544,3726,9.0
1689729506.9368834,3730,12.0
1689729527.696515,3741,5.0
1689729579.1391962,3772,9.0
1689729589.1685505,3780,2.0
1689729614.798393,3793,4.0
1689729621.404188,3798,0.0
1689729654.3070476,3814,1.0
1689729659.0625606,3819,3.0
1689729662.7482061,3821,18.0
1689729679.2593892,3831,6.0
1689729684.636709,3835,7.0
1689729747.1686811,3864,13.0
1689729765.657283,3876,20.0
1689729854.1580753,3928,29.0
1689729877.901963,3939,13.0
1689729915.7134252,3956,20.0
1689729962.820679,3984,9.0
1689730000.9016075,4010,1.0
1689730014.5538676,4022,10.0
1689730034.6289403,4033,12.0
1689730040.0681288,4036,7.0
1689730140.1856809,4093,16.0
1689730144.998188,4098,2.0
1689730147.560693,4099,16.0
1689730164.6544406,4109,29.0
1689730293.3406475,4182,1.0
1689730320.2468972,4193,16.0
1689730321.8562665,4194,8.0
1689730325.9500237,4196,15.0
1689730332.637526,4201,2.0
1689730333.215648,4202,0.0
1689730380.481443,4227,0.0
1689730388.200198,4232,13.0
1689730393.8095732,4235,1.0
1689730406.6162555,4243,13.0
1689730439.7416277,4263,0.0
1689730443.5384989,4266,3.0
1689730445.366631,4267,10.0
1689730465.3667474,4282,5.0
1689730509.1709714,4304,29.0
1689730528.624776,4317,13.0
1689730530.4217162,4319,1.0
1689730553.8042269,4332,2.0
1689730621.288532,4369,26.0
1689730663.4213724,4393,4.0
1689730674.7963696,4400,0.0
1689730685.8744228,4406,10.0
1689730724.3157594,4430,4.0
1689730727.862606,4433,1.0
1689730833.6303644,4492,18.0
1689730868.0604215,4509,5.0
1689730868.6251893,4510,0.0
1689730897.427797,4530,0.0
1689730903.2585917,4533,2.0
1689730921.9890413,4542,16.0
1689730980.0117679,4578,6.0
1689730983.105588,4581,2.0
1689731009.6618183,4597,29.0
1689731073.75557,4628,12.0
1689731124.3180628,4656,9.0
1689731140.0836878,4664,0.0
1689731146.9898703,4668,1.0
1689731161.256059,4676,3.0
1689731175.7560482,4687,4.0
1689731210.177858,4713,2.0
1689731215.3341472,4718,3.0
1689731244.77167,4734,15.0
1689731273.1314218,4750,18.0
1689731287.8188505,4758,1.0
1689731301.3775535,4767,8.0
1689731320.0210948,4776,10.0
1689731342.9714456,4787,12.0
1689731343.6906042,4788,1.0
1689731365.4894514,4800,29.0
1689731369.1416376,4802,17.0
1689731420.8760135,4840,2.0
1689731436.8098056,4852,5.0
1689731470.5753496,4871,10.0
1689731516.1090906,4894,0.0
1689731551.8602703,4914,22.0
1689731631.9831758,4962,2.0
1689731645.8917627,4971,9.0
1689731652.969891,4974,13.0
1689731658.5636365,4976,21.0
1689731746.9320364,5027,3.0
1689731756.4476771,5030,15.0
1689731791.4788463,5050,4.0
1689731795.1195457,5052,10.0
1689731799.0726674,5053,29.0
1689731815.603918,5060,16.0
1689731854.4164147,5078,12.0
1689731902.7757928,5106,17.0
1689731935.8851712,5126,2.0
1689731953.6507916,5134,29.0
1689732009.955432,5165,20.0
1689732036.2065213,5182,12.0
1689732071.5970666,5200,18.0
1689732091.7365978,5208,3.0
1689732147.1480224,5239,0.0
1689732195.6167731,5266,4.0
1689732244.4917688,5289,2.0
1689732291.398019,5318,7.0
1689732312.9761567,5329,17.0
1689732341.7683945,5345,0.0
1689732372.002683,5359,10.0
1689732416.3788617,5380,17.0
1689732483.0847821,5420,12.0
1689732526.4952803,5442,13.0
1689732536.090082,5447,6.0
1689732596.4269903,5484,7.0
1689732616.771433,5495,10.0
1689732627.068309,5501,1.0
1689732654.9276922,5515,7.0
1689732658.0839365,5517,10.0
1689732714.865186,5549,2.0
1689732764.8495607,5573,3.0
1689732788.8495603,5585,4.0
1689732791.2870595,5587,2.0
1689732802.7401223,5593,29.0
1689732818.817922,5605,0.0
1689732862.9116805,5630,4.0
1689732911.2409132,5658,8.0
1689732915.6159837,5660,25.0
1689732920.194024,5664,4.0
1689732947.4453046,5679,2.0
1689733012.3239336,5720,15.0
1689733020.1676052,5723,14.0
1689733111.846373,5776,12.0
1689733118.2370002,5779,12.0
1689733142.6276298,5789,26.0
1689733179.8402822,5807,2.0
1689733181.0902808,5808,5.0
1689733213.4027843,5825,15.0
1689733219.1684165,5828,25.0
1689733281.4352274,5862,3.0
1689733283.27899,5864,0.0
1689733297.6227298,5871,23.0
1689733349.388358,5898,1.0
1689733363.9664853,5907,17.0
1689733399.9833698,5928,3.0
1689733454.03129,5952,15.0
1689733461.8450632,5957,9.0
1689733470.3607652,5963,8.0
1689733513.9231434,5990,26.0
1689733553.806203,6010,14.0
1689733564.8395753,6015,12.0
1689733598.5114675,6030,6.0
1689733605.0270703,6035,0.0
1689733689.737194,6078,29.0
1689733697.4884648,6082,10.0
1689733731.4572134,6103,12.0
1689733735.894719,6105,12.0
1689733766.7072196,6121,4.0
1689733772.5040922,6123,17.0
1689733782.1290927,6129,15.0
1689733787.2384706,6131,19.0
1689733825.5040934,6149,8.0
1689733863.3801947,6172,20.0
1689733884.5063682,6181,0.0
1689733915.2095988,6200,0.0
1689733934.3200653,6211,2.0
1689733938.007651,6213,7.0
1689733952.696387,6219,5.0
1689733973.2277057,6232,1.0
1689734014.1111848,6250,26.0
1689734091.9154916,6289,7.0
1689734134.7191837,6312,1.0
1689734144.2192206,6316,11.0
1689734146.2660983,6317,11.0
1689734160.5160666,6324,6.0
1689734188.8129702,6341,4.0
1689734205.7973533,6352,27.0
1689734227.4692302,6363,18.0
1689734243.0942292,6370,17.0
1689734258.8870583,6376,15.0
1689734306.793314,6400,12.0
1689734401.5288687,6459,12.0
1689734464.981909,6495,8.0
1689734467.4194665,6496,12.0
1689734474.2176034,6500,12.0
1689734507.5966265,6520,16.0
1689734511.8002796,6521,29.0
1689734512.5043573,6522,1.0
1689734527.2106843,6530,10.0
1689734611.0010827,6574,0.0
1689734626.4385781,6581,8.0
1689734632.4073305,6584,7.0
1689734667.594834,6603,23.0
1689734775.1573308,6657,10.0
1689734791.3616498,6666,7.0
1689734795.9241505,6668,0.0
1689734803.8147724,6672,3.0
1689734813.4241633,6678,12.0
1689734822.6741524,6681,25.0
1689734835.9397678,6688,1.0
1689734853.4241464,6696,12.0
1689734857.8304055,6699,1.0
1689734877.4877844,6711,16.0
1689734929.4857333,6738,0.0
1689734934.7639494,6742,3.0
1689734956.1387265,6753,1.0
1689734979.9991555,6764,11.0
1689735129.937233,6832,19.0
1689735153.5819669,6846,13.0
1689735174.577286,6854,29.0
1689735206.3467958,6868,12.0
1689735207.3333147,6869,3.0
1689735258.2990997,6895,12.0
1689735285.8257897,6909,13.0
1689735338.3282888,6934,0.0
1689735402.5249233,6963,17.0
1689735411.660148,6966,25.0
1689735467.432593,6992,15.0
1689735500.5591533,7010,14.0
1689735508.5278351,7014,11.0
1689735565.5490236,7039,8.0
1689735613.0986476,7065,2.0
1689735667.3237278,7091,13.0
1689735690.7472107,7106,12.0
1689735705.0013871,7114,29.0
1689735707.199571,7115,11.0
1689735742.107118,7137,11.0
1689735746.950801,7141,4.0
1689735779.0292242,7155,12.0
1689735855.7977185,7195,12.0
1689735879.8482807,7204,20.0
1689735900.836294,7216,24.0
1689735933.3269398,7235,8.0
1689735940.2964075,7238,13.0
1689735961.736067,7247,13.0
1689736073.8946874,7300,28.0
1689736095.0121546,7311,0.0
1689736125.9306984,7329,4.0
1689736145.3916178,7339,0.0
1689736149.2846234,7340,27.0
1689736179.3077202,7358,1.0
1689736181.2702217,7359,10.0
1689736225.3150992,7382,12.0
1689736235.2996612,7386,10.0
1689736266.4716036,7401,29.0
1689736328.8996496,7431,29.0
1689736347.4467847,7440,8.0
1689736353.1810966,7443,29.0
1689736367.480766,7450,2.0
1689736386.825426,7460,3.0
1689736391.2316658,7463,13.0
1689736400.9201205,7468,8.0
1689736422.0617154,7478,0.0
1689736466.1434968,7502,12.0
1689736477.8651824,7511,7.0
1689736506.7474747,7530,11.0
1689736538.0855598,7547,12.0
1689736651.793399,7609,13.0
1689736716.417166,7644,11.0
1689736755.8242524,7661,29.0
1689736776.1793034,7671,14.0
1689736786.1332157,7676,13.0
1689736807.9776096,7687,11.0
1689736820.4152386,7693,24.0
1689736835.9879913,7700,23.0
1689736861.3646226,7718,6.0
1689736866.8814425,7723,2.0
1689736874.1946316,7728,1.0
1689736910.1199007,7746,10.0
1689736932.1396835,7757,5.0
1689736937.9680974,7760,29.0
1689736983.148995,7780,6.0
1689736995.1371086,7788,0.0
1689737013.0023506,7798,11.0
1689737035.4008698,7810,9.0
1689737083.740126,7833,10.0
1689737096.5399952,7838,5.0
1689737212.071498,7899,12.0
1689737213.8683095,7900,10.0
1689737281.934299,7932,6.0
1689737353.6440446,7975,0.0
1689737371.3808901,7983,29.0
1689737383.195877,7991,4.0
1689737385.8369675,7992,16.0
1689737456.3504617,8026,4.0
1689737479.27935,8037,20.0
1689737503.4292119,8049,22.0
1689737539.4713492,8066,26.0
1689737656.0214627,8126,2.0
1689737707.974986,8150,29.0
1689737763.138883,8180,24.0
1689737772.029508,8184,3.0
1689737803.2986996,8198,29.0
1689737833.9277537,8215,6.0
1689737845.818571,8221,13.0
1689737916.402838,8263,0.0
1689737945.7215114,8279,1.0
1689737971.73011,8290,15.0
1689737989.0647092,8299,13.0
1689738004.133368,8307,11.0
1689738034.598587,8327,13.0
1689738036.4587138,8329,4.0
1689738043.7594573,8332,13.0
1689738046.8079658,8334,2.0
1689738055.107787,8340,4.0
1689738088.5188117,8360,29.0
1689738095.515008,8363,6.0
1689738103.5818496,8368,3.0
1689738117.3600547,8377,21.0
1689738254.494974,8447,2.0
1689738292.749781,8467,16.0
1689738293.5935445,8468,2.0
1689738297.4841692,8470,8.0
1689738321.046968,8484,3.0
1689738328.828214,8488,16.0
1689738344.421981,8497,5.0
1689738347.5157135,8498,20.0
1689738354.6563313,8503,4.0
1689738366.5002599,8508,8.0
1689738393.7827933,8523,4.0
1689738451.2692227,8554,9.0
1689738480.09782,8566,27.0
1689738492.4733665,8573,19.0
1689738498.8175333,8578,0.0
1689738524.428817,8592,0.0
1689738537.442667,8601,16.0
1689738586.9402463,8627,2.0
1689738600.2844815,8634,13.0
1689738602.4407284,8635,10.0
1689738629.1597366,8644,12.0
1689738703.7915323,8682,0.0
1689738724.7446928,8690,8.0
1689738728.3228755,8691,24.0
1689738735.0103755,8695,5.0
1689738791.9985044,8727,29.0
1689738884.8140147,8774,8.0
1689738890.9077718,8778,3.0
1689738927.106237,8796,14.0
1689738939.3776772,8801,3.0
1689738972.9567685,8819,0.0
1689738978.2066948,8822,15.0
1689739012.4614856,8843,13.0
1689739034.46571,8854,14.0
1689739076.5687368,8878,7.0
1689739088.613007,8885,0.0
1689739118.93381,8902,6.0
1689739123.9581583,8904,12.0
1689739130.6297836,8907,26.0
1689739168.6324751,8928,10.0
1689739174.5851114,8930,14.0
1689739185.2831576,8935,13.0
1689739202.2753863,8946,5.0
1689739223.8958726,8958,6.0
1689739260.8355196,8975,0.0
1689739303.0304532,8993,13.0
1689739315.5877295,8999,29.0
1689739334.9522939,9009,7.0
1689739364.8130038,9027,8.0
1689739366.865619,9028,10.0
1689739416.1029167,9055,1.0
1689739438.2595892,9063,4.0
1689739452.0101702,9073,5.0
1689739474.8856797,9084,29.0
1689739518.9957724,9105,24.0
1689739550.6839685,9123,0.0
1689739617.9487338,9155,1.0
1689739633.7903302,9162,10.0
1689739728.0485885,9214,1.0
1689739733.9236462,9216,10.0
1689739758.2205284,9226,29.0
1689739771.049248,9233,10.0
1689739829.112507,9260,29.0
1689739870.1763086,9281,13.0
1689739893.224217,9291,6.0
1689739929.8043017,9307,22.0
1689739933.2886703,9309,19.0
1689739949.0556223,9316,12.0
1689740016.1338851,9348,25.0
1689740028.2433422,9353,11.0
1689740048.7308965,9364,12.0
1689740058.0292585,9369,22.0
1689740150.2557032,9412,2.0
1689740155.2099214,9415,4.0
1689740198.6080794,9435,29.0
1689740209.5456393,9441,1.0
1689740213.7331011,9442,29.0
1689740263.6870034,9468,5.0
1689740275.4530182,9475,3.0
1689740410.5222533,9538,29.0
1689740422.976167,9547,12.0
1689740437.365467,9554,2.0
1689740442.4279606,9557,21.0
1689740459.2568302,9564,22.0
1689740463.7256777,9567,0.0
1689740498.8858144,9589,14.0
1689740526.168716,9600,29.0
1689740549.2516348,9611,17.0
1689740573.53701,9623,10.0
1689740576.1002605,9624,15.0
1689740581.7731225,9627,9.0
1689740632.2969913,9651,1.0
1689740641.1421812,9657,11.0
1689740685.414925,9680,18.0
1689740707.5559423,9690,29.0
1689740725.1820877,9698,13.0
1689740842.2641826,9759,7.0
1689740859.1080863,9768,0.0
1689740875.9532819,9777,0.0
1689740939.1755748,9812,12.0
1689741009.0251508,9840,10.0
1689741014.9628868,9843,14.0
1689741097.5477288,9883,11.0
1689741147.1178584,9907,0.0
1689741168.8053708,9917,3.0
1689741269.8863928,9972,14.0
1689741298.1529713,9985,12.0
1689741359.2227812,10014,11.0
1689741439.9294224,10050,8.0
1689741449.868542,10055,2.0
1689741452.727912,10056,16.0
1689741457.6035252,10058,0.0
1689741482.840726,10072,3.0
1689741508.2495368,10084,29.0
1689741547.7396631,10107,6.0
1689741559.2264237,10113,3.0
1689741585.8077116,10128,3.0
1689741595.0747197,10134,5.0
1689741619.1725073,10144,29.0
1689741665.319563,10168,13.0
1689741703.5554163,10185,29.0
1689741750.4028933,10207,29.0
1689741813.3085287,10238,29.0
1689741828.9027362,10245,29.0
1689741849.2157192,10256,12.0
1689741875.6078904,10272,6.0
1689741881.8430293,10276,0.0
1689741895.6721706,10283,4.0
1689741904.4069824,10288,29.0
1689741991.6014738,10330,1.0
1689742074.912016,10366,7.0
1689742131.957311,10394,9.0
1689742138.1814325,10396,11.0
1689742139.5575686,10397,6.0
1689742144.9182308,10399,7.0
1689742156.9795895,10405,3.0
1689742170.491454,10414,29.0
1689742182.154443,10420,11.0
1689742193.7024126,10425,20.0
1689742259.2190318,10454,29.0
1689742281.5634975,10468,2.0
1689742303.096524,10479,1.0
1689742320.269189,10489,10.0
1689742328.3323772,10493,13.0
1689742331.7851772,10494,24.0
1689742388.5627904,10522,12.0
1689742411.64693,10531,12.0
1689742426.805948,10539,4.0
1689742465.577948,10554,12.0
1689742467.81237,10555,12.0
1689742496.743063,10567,22.0
1689742566.3820982,10598,12.0
1689742583.9696035,10607,10.0
1689742610.4753168,10620,10.0
1689742622.1410801,10624,29.0
1689742631.7150738,10629,25.0
1689742644.508767,10638,2.0
1689742660.8278053,10646,7.0
1689742671.267446,10653,1.0
1689742675.4149096,10654,29.0
1689742711.6260915,10671,14.0
1689742782.722972,10701,12.0
1689742801.161247,10711,22.0
1689742871.7941177,10748,15.0
1689742889.4989848,10757,29.0
1689742891.9998376,10758,13.0
1689742904.9231973,10764,11.0
1689742939.304575,10780,12.0
1689742953.197963,10787,5.0
1689743012.0909092,10815,14.0
1689743014.6384115,10816,13.0
1689743036.9258196,10825,13.0
1689743046.1165786,10830,11.0
1689743068.2815135,10841,2.0
1689743086.3748584,10850,2.0
1689743121.16634,10864,13.0
1689743150.8111985,10875,5.0
1689743206.8726735,10902,2.0
1689743210.5838242,10905,10.0
1689743228.746087,10914,9.0
1689743287.6552474,10939,29.0
1689743297.0146308,10943,10.0
1689743317.2025416,10952,29.0
1689743351.3784719,10966,10.0
1689743360.6750698,10972,5.0
1689743364.1344192,10974,4.0
1689743447.700305,11008,29.0
1689743464.921496,11014,1.0
1689743478.9215372,11020,9.0
1689743482.8980446,11022,3.0
1689743483.7283623,11023,2.0
1689743507.542261,11033,11.0
1689743520.9177618,11038,14.0
1689743555.9184964,11052,28.0
1689743576.3342202,11061,29.0
1689743609.7066317,11077,4.0
