Wall time,Step,Value
1689122544.919653,10,0.0
1689122562.4197404,30,0.0
1689122580.860255,50,0.10000000149011612
1689122589.4829888,60,0.0
1689122607.4838502,80,0.0
1689122625.1598463,100,0.0
1689122634.4572518,110,0.10000000149011612
1689122643.6157436,120,0.0
1689122652.5999904,130,0.10000000149011612
1689122661.5075154,140,0.10000000149011612
1689122670.178026,150,0.0
1689122679.025006,160,0.0
1689122688.1803722,170,0.10000000149011612
1689122697.3207114,180,0.10000000149011612
1689122706.167306,190,0.0
1689122715.2128596,200,0.30000001192092896
1689122724.1324923,210,0.0
1689122733.1176689,220,0.0
1689122742.1361008,230,0.10000000149011612
1689122751.2797196,240,0.20000000298023224
1689122760.371588,250,0.20000000298023224
1689122778.728586,270,0.10000000149011612
1689122806.8103173,300,0.10000000149011612
1689122815.8995755,310,0.20000000298023224
1689122825.1030245,320,0.0
1689122834.244179,330,0.10000000149011612
1689122843.1201723,340,0.10000000149011612
1689122861.6069667,360,0.20000000298023224
1689122888.9693763,390,0.10000000149011612
1689122897.8118086,400,0.0
1689122917.1346602,420,0.30000001192092896
1689122926.9813087,430,0.0
1689122936.1846447,440,0.20000000298023224
1689122945.3125572,450,0.0
1689122954.5765908,460,0.20000000298023224
1689122963.5011795,470,0.10000000149011612
1689122981.9559264,490,0.0
1689122990.9429233,500,0.20000000298023224
1689123009.2623227,520,0.30000001192092896
1689123018.5241747,530,0.10000000149011612
1689123027.4947808,540,0.10000000149011612
1689123037.0113287,550,0.20000000298023224
1689123046.0746987,560,0.0
1689123055.6886466,570,0.0
1689123073.565439,590,0.10000000149011612
1689123082.7815778,600,0.20000000298023224
1689123091.658331,610,0.0
1689123100.9895961,620,0.0
1689123110.2086182,630,0.0
1689123118.943535,640,0.0
1689123128.085389,650,0.20000000298023224
1689123137.4143295,660,0.20000000298023224
1689123147.1839778,670,0.10000000149011612
1689123156.499616,680,0.30000001192092896
1689123165.8428683,690,0.10000000149011612
1689123184.3326097,710,0.0
1689123193.3154907,720,0.10000000149011612
1689123202.2855127,730,0.10000000149011612
1689123211.2555206,740,0.0
1689123229.175755,760,0.0
1689123238.0513418,770,0.0
1689123247.0985687,780,0.10000000149011612
1689123255.71993,790,0.0
1689123274.4348173,810,0.10000000149011612
1689123284.5796056,820,0.10000000149011612
1689123302.3875642,840,0.0
1689123311.3444574,850,0.10000000149011612
1689123320.4257941,860,0.10000000149011612
1689123329.5017045,870,0.10000000149011612
1689123338.4583287,880,0.0
1689123347.4913669,890,0.0
1689123366.2121253,910,0.0
1689123375.3051944,920,0.10000000149011612
1689123383.4649627,930,0.10000000149011612
1689123392.3817804,940,0.10000000149011612
1689123410.4680645,960,0.10000000149011612
1689123419.4301488,970,0.10000000149011612
1689123437.336174,990,0.10000000149011612
1689123446.6597505,1000,0.10000000149011612
1689123455.9047947,1010,0.20000000298023224
1689123464.858617,1020,0.0
1689123473.6870244,1030,0.10000000149011612
1689123482.6865191,1040,0.0
1689123492.0011528,1050,0.0
1689123501.0177128,1060,0.10000000149011612
1689123519.4576535,1080,0.10000000149011612
1689123528.3181453,1090,0.0
1689123537.4598744,1100,0.10000000149011612
1689123546.646225,1110,0.20000000298023224
1689123565.2301102,1130,0.0
1689123574.5754862,1140,0.30000001192092896
1689123584.1110406,1150,0.20000000298023224
1689123593.265086,1160,0.20000000298023224
1689123602.3137648,1170,0.0
1689123611.4899874,1180,0.0
1689123620.505844,1190,0.10000000149011612
1689123630.0696192,1200,0.10000000149011612
1689123639.3201933,1210,0.10000000149011612
1689123657.3385606,1230,0.10000000149011612
1689123666.056422,1240,0.0
1689123675.1197057,1250,0.0
1689123684.0751305,1260,0.0
1689123693.1997564,1270,0.10000000149011612
1689123712.069923,1290,0.10000000149011612
1689123721.0495105,1300,0.10000000149011612
1689123748.9764588,1330,0.30000001192092896
1689123757.9295478,1340,0.10000000149011612
1689123776.1488597,1360,0.0
1689123785.527347,1370,0.10000000149011612
1689123803.499671,1390,0.20000000298023224
1689123821.6877172,1410,0.10000000149011612
1689123831.004828,1420,0.10000000149011612
1689123839.9541779,1430,0.10000000149011612
1689123848.9090147,1440,0.0
1689123858.2388961,1450,0.0
1689123868.118148,1460,0.10000000149011612
1689123886.5266206,1480,0.0
1689123895.4501965,1490,0.10000000149011612
1689123904.2929459,1500,0.0
1689123913.1058578,1510,0.0
1689123931.4022624,1530,0.10000000149011612
1689123940.468089,1540,0.0
1689123949.8908463,1550,0.0
1689123968.0672283,1570,0.0
1689123977.3499334,1580,0.10000000149011612
1689123986.3813581,1590,0.10000000149011612
1689124004.6103287,1610,0.0
1689124013.930934,1620,0.10000000149011612
1689124031.9967306,1640,0.0
1689124041.2645638,1650,0.20000000298023224
1689124059.37467,1670,0.0
1689124068.282105,1680,0.0
1689124077.3146467,1690,0.10000000149011612
1689124096.0210857,1710,0.0
1689124105.3208904,1720,0.0
1689124114.2880497,1730,0.0
1689124132.7331588,1750,0.0
1689124141.7601466,1760,0.10000000149011612
1689124150.5277855,1770,0.0
1689124159.2747393,1780,0.10000000149011612
1689124177.8877878,1800,0.10000000149011612
1689124186.8902075,1810,0.10000000149011612
1689124196.0028045,1820,0.0
1689124205.0169525,1830,0.10000000149011612
1689124213.8917732,1840,0.0
1689124222.6735442,1850,0.0
1689124231.5346017,1860,0.0
1689124240.8605878,1870,0.10000000149011612
1689124249.8294845,1880,0.0
1689124268.3810678,1900,0.10000000149011612
1689124277.6651576,1910,0.20000000298023224
1689124305.451058,1940,0.0
1689124342.1196384,1980,0.0
1689124350.5364113,1990,0.0
1689124368.400412,2010,0.0
